player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Creed Humphrey,59996,C,KC,17,0,16,90.6,2,5,663,100.0,100.0,99.5,0,7,0,708,708,86.3,2,2,286,100.0,100.0,99.3,4,0,314,314,99.01,98.73
Luke Wattenberg,41024,C,DEN,13,3,10,82.0,2,4,487,100.0,100.0,99.0,5,8,2,515,515,71.3,2,2,202,100.0,100.0,98.0,6,2,215,215,98.45,97.21
Austin Corbett,46290,C,CAR,5,0,5,64.7,1,1,176,100.0,100.0,98.9,1,3,1,187,187,66.4,1,1,67,100.0,100.0,98.5,2,0,76,76,98.4,97.37
Quinn Meinerz,112915,G,DEN,17,1,10,80.3,4,7,644,100.0,100.0,99.0,3,12,1,682,682,68.9,3,4,282,100.0,100.0,98.4,8,1,300,300,98.24,97.33
Tristan Wirfs,64818,T,TB,16,1,30,93.7,1,11,604,100.0,100.0,99.0,3,12,0,638,638,88.7,0,9,280,100.0,100.0,98.4,9,0,299,299,98.12,96.99
Aaron Brewer,46014,C,MIA,17,1,17,70.2,1,11,668,100.0,100.0,98.8,5,14,2,714,714,48.8,1,7,178,100.0,100.0,97.2,9,1,191,191,98.04,95.29
Brock Hoffman,54535,G,DAL,11,1,9,62.1,3,2,266,100.0,100.0,98.7,1,6,1,286,286,42.7,3,2,108,100.0,100.0,96.8,6,1,119,119,97.9,94.96
Zach Frazier,123419,C,PIT,15,2,25,66.6,2,9,514,100.0,100.0,98.7,2,12,1,548,548,57.5,1,6,203,100.0,100.0,97.8,8,1,219,219,97.81,96.35
Mitch Morse,9482,C,JAX,17,0,15,61.9,2,9,600,100.0,100.0,98.6,2,14,3,634,634,56.0,1,8,307,100.0,100.0,97.9,11,2,322,322,97.79,96.58
Lane Johnson,7786,T,PHI,15,0,24,88.1,1,9,421,100.0,100.0,98.8,2,10,0,451,451,85.5,0,7,219,100.0,100.0,98.4,7,0,230,230,97.78,96.96
Jordan Meredith,60235,G,LV,9,0,23,75.7,1,8,374,100.0,100.0,98.8,0,9,0,399,399,69.4,1,4,168,100.0,100.0,98.5,5,0,177,177,97.74,97.18
Tyler Biadasz,41178,C,WAS,15,1,32,64.8,0,13,525,100.0,100.0,98.6,1,14,1,561,561,51.3,0,10,211,100.0,100.0,97.6,10,0,228,228,97.5,95.61
Connor Williams,46216,C,SEA,9,0,29,62.3,3,6,385,100.0,100.0,98.3,1,11,2,427,427,64.1,3,4,194,100.0,100.0,97.2,9,2,217,217,97.42,95.85
Alijah Vera-Tucker,57107,G,NYJ,15,1,22,74.5,4,8,582,100.0,100.0,98.3,1,16,4,619,619,71.6,2,5,199,100.0,100.0,97.7,8,1,211,211,97.42,96.21
Cody Mauch,66637,G,TB,17,0,30,76.5,1,15,657,100.0,100.0,98.5,0,18,2,696,696,72.9,1,8,298,100.0,100.0,98.2,10,1,322,322,97.41,96.89
