player,player_id,position,team_name,year,snap_counts_pass_block,pressures_allowed,all_pass_pbwr,pressure_rate,is_weak_link,team_pbwr_range,player_epa,replacement_epa,epa_above_replacement,pass_blocking_war
Tristan Wirfs,64818,T,TB,2021,796,14,98.24,0.017587939698492462,False,2.259999999999991,0.36728098466903436,0.341808535338418,0.025472449330616376,0.001886848098564176
Joe Thuney,10712,G,KC,2021,805,16,98.01,0.01987577639751553,False,7.6000000000000085,0.37112485245147314,0.3496438255320598,0.021481026919413337,0.0015911871792158028
Andrew Whitworth,3000,T,LA,2021,597,16,97.32,0.02680067001675042,False,2.509999999999991,0.33962816808328267,0.31909009579671693,0.020538072286565734,0.0015213386878937581
Kevin Zeitler,7032,G,BLT,2021,771,17,97.8,0.02204928664072633,False,4.86999999999999,0.3670077984279656,0.34651807190946243,0.02048972651850317,0.0015177575198891237
Brian O'Neill,46854,T,MIN,2021,695,22,96.83,0.031654676258992806,False,6.1299999999999955,0.3522695559280576,0.3326900894911428,0.019579466436914772,0.001450330847178872
Joel Bitonio,8670,G,CLV,2021,631,17,97.31,0.02694136291600634,False,6.769999999999996,0.3700055379274683,0.35114409216666503,0.018861445760803286,0.001397144130429873
Rashawn Slater,59971,T,LAC,2021,752,26,96.54,0.034574468085106384,False,6.680000000000007,0.3527905402425521,0.3342036635252136,0.018586876717338496,0.0013768056827658146
George Fant,11282,T,NYJ,2021,594,18,96.97,0.030303030303030304,False,5.140000000000001,0.31377849601078167,0.2958615478722115,0.017916948138570143,0.0013271813435977884
Taylor Moton,11819,T,CAR,2021,713,27,96.21,0.037868162692847124,False,5.179999999999993,0.36164533422748946,0.34379853578433267,0.017846798443156786,0.0013219850698634656
Dion Dawkins,11818,T,BUF,2021,723,25,96.54,0.034578146611341634,False,4.840000000000003,0.33683531327659905,0.319073474507185,0.017761838769414062,0.001315691760697338
Trent Williams,5529,T,SF,2021,508,16,96.85,0.031496062992125984,False,4.009999999999991,0.3107225332857611,0.2933476755360954,0.017374857749665684,0.0012870264999752358
Donovan Smith,9467,T,TB,2021,784,30,96.17,0.03826530612244898,False,2.259999999999991,0.3539797952504925,0.33664715089656416,0.01733264435392834,0.0012838995817724696
Chukwuma Okorafor,46302,T,PIT,2021,683,23,96.63,0.03367496339677892,False,3.710000000000008,0.3228618261609147,0.30553146205566784,0.017330364105246854,0.0012837306744627299
Andrew Norwell,9126,G,JAX,2021,709,24,96.61,0.03385049365303244,False,2.539999999999992,0.3935534475208692,0.3762669007283478,0.017286546792521396,0.0012804849475941775
Jake Matthews,8641,T,ATL,2021,660,26,96.06,0.03939393939393939,False,5.219999999999999,0.36045516167552355,0.34321168757440806,0.017243474101115486,0.0012772943778604064
Shaq Mason,9564,G,NE,2021,545,15,97.25,0.027522935779816515,False,4.25,0.32995881522097464,0.3132998683229558,0.016658946898018834,0.0012339960665199137
Lane Johnson,7786,T,PHI,2021,416,11,97.36,0.026442307692307692,False,5.359999999999999,0.27144220785400486,0.254840919079768,0.016601288774236833,0.0012297250943879136
Trai Turner,8727,G,PIT,2021,702,20,97.15,0.02849002849002849,False,3.710000000000008,0.33367115574980577,0.3171612658932027,0.016509889856603066,0.0012229548041928198
Zack Martin,8651,G,DAL,2021,688,19,97.24,0.027616279069767442,False,3.5900000000000034,0.32392218753077967,0.3075942577656425,0.016327929765137195,0.0012094762788990516
Ali Marpet,9494,G,TB,2021,712,20,97.19,0.028089887640449437,False,2.259999999999991,0.3249279038879769,0.3087122985269727,0.016215605361004193,0.0012011559526669772
Creed Humphrey,59996,C,KC,2021,805,10,98.76,0.012422360248447204,False,7.6000000000000085,0.3740155022156635,0.35820549532855317,0.015810006887110317,0.0011711116212674308
Jon Runyan,36661,G,GB,2021,636,20,96.86,0.031446540880503145,False,4.280000000000001,0.33102685445154817,0.3156076095106104,0.01541924494093777,0.0011421662919213163
Jawaan Taylor,41665,T,JAX,2021,712,34,95.22,0.047752808988764044,False,2.539999999999992,0.3894374108681425,0.3741625579641385,0.015274852904003988,0.0011314705854817769
Matt Feiler,9289,G,LAC,2021,737,25,96.61,0.033921302578018994,False,6.680000000000007,0.3460041171906563,0.3307717694267036,0.015232347763952714,0.00112832205658909
Connor Williams,46216,G,DAL,2021,569,13,97.72,0.022847100175746926,False,3.5900000000000034,0.2692180442379474,0.2543039869614878,0.014914057276459558,0.0011047449834414487
Rob Havenstein,9490,T,LA,2021,600,26,95.67,0.043333333333333335,False,2.509999999999991,0.33543536943444724,0.3206963942645626,0.01473897516988465,0.001091775938509974
Wyatt Teller,46131,G,CLV,2021,631,24,96.2,0.03803486529318542,False,6.769999999999996,0.3657089445829871,0.35114409216666503,0.01456485241632205,0.0010788779567645962
Garett Bolles,11775,T,DEN,2021,525,22,95.81,0.0419047619047619,False,4.019999999999996,0.3161793044921238,0.301818361804573,0.014360942687550782,0.001063773532411169
Andrew Thomas,59701,T,NYG,2021,517,18,96.52,0.03481624758220503,False,3.8900000000000006,0.26983784913090514,0.2555948957703425,0.014242953360562638,0.0010550335822638991
Corey Linsley,8796,C,LAC,2021,724,10,98.62,0.013812154696132596,False,6.680000000000007,0.3471073449227213,0.33289614599907824,0.014211198923643031,0.0010526814017513357
Kolton Miller,47013,T,LV,2021,730,34,95.34,0.04657534246575343,False,7.200000000000003,0.3503974020229372,0.3361960775238772,0.014201324499059975,0.0010519499628933314
Tyron Smith,6161,T,DAL,2021,460,11,97.61,0.02391304347826087,False,3.5900000000000034,0.21736410393005517,0.20345128526560943,0.013912818664445742,0.0010305791603293143
Quinton Spain,10110,G,CIN,2021,611,23,96.24,0.03764320785597381,False,4.590000000000003,0.3449964415506256,0.3311013488395044,0.013895092711121215,0.0010292661267497197
Tytus Howard,25472,G,HST,2021,585,23,96.07,0.039316239316239315,False,2.960000000000008,0.35915938349685567,0.34532625687990537,0.013833126616950298,0.001024676045700022
