player,player_id,position,team_name,year,snap_counts_pass_block,pressures_allowed,all_pass_pbwr,pressure_rate,is_weak_link,team_pbwr_range,player_epa,replacement_epa,epa_above_replacement,pass_blocking_war
Laremy Tunsil,10647,T,HST,2022,676,17,97.49,0.02514792899408284,False,6.439999999999998,0.38540127140773617,0.3609975632789741,0.02440370812876208,0.001807682083612006
Jawaan Taylor,41665,T,JAX,2022,675,16,97.63,0.023703703703703703,False,2.469999999999999,0.36664641014780835,0.3429078063022651,0.02373860384554327,0.001758415099669872
Chris Lindstrom,46692,G,ATL,2022,517,9,98.26,0.017408123791102514,False,3.480000000000004,0.3935061134365914,0.3699579037201464,0.023548209716445,0.0017443118308477779
Tristan Wirfs,64818,T,TB,2022,626,5,99.2,0.007987220447284345,False,5.5,0.2864531042607417,0.26346973069871193,0.022983373562029785,0.00170247211570591
Lane Johnson,7786,T,PHI,2022,551,9,98.37,0.016333938294010888,False,8.930000000000007,0.30456321057696767,0.282580227957734,0.02198298261923365,0.0016283690829061962
Ben Powers,41482,G,BLT,2022,597,12,97.99,0.020100502512562814,False,3.3599999999999994,0.38109015828870446,0.3592780642408741,0.021812094047830355,0.001615710670209656
Jake Matthews,8641,T,ATL,2022,517,17,96.71,0.03288201160541586,False,3.480000000000004,0.38719378129480175,0.3656569770576506,0.021536804237151153,0.0015953188323815668
Zack Martin,8651,G,DAL,2022,628,16,97.45,0.025477707006369428,False,3.710000000000008,0.4045815168405606,0.38359850467845646,0.02098301216210413,0.0015542971971928986
Mike Onwenu,27357,G,NE,2022,634,14,97.79,0.022082018927444796,False,5.210000000000008,0.37202999481723853,0.35145837610046443,0.020571618716774098,0.0015238236086499333
Kaleb McGary,46912,T,ATL,2022,517,19,96.32,0.0367504835589942,False,3.480000000000004,0.38560568344773233,0.3656569770576506,0.019948706390081727,0.0014776819548208686
Andrew Thomas,59701,T,NYG,2022,619,21,96.61,0.033925686591276254,False,5.219999999999999,0.3621069870556059,0.3423030706985418,0.019803916357064077,0.0014669567671899318
Kevin Dotson,46735,G,PIT,2022,686,16,97.67,0.023323615160349854,False,3.6500000000000057,0.35904820243082564,0.33960695698492077,0.019441245445904864,0.0014400922552522122
Brian O'Neill,46854,T,MIN,2022,708,24,96.61,0.03389830508474576,False,5.280000000000001,0.3365190206118567,0.3180890704843942,0.018429950127462458,0.001365181490923145
Alex Cappa,66578,G,CIN,2022,724,20,97.24,0.027624309392265192,False,3.1899999999999977,0.36353496897351734,0.345405234636046,0.018129734337471337,0.0013429432842571361
Taylor Moton,11819,T,CAR,2022,552,21,96.2,0.03804347826086957,False,2.1200000000000045,0.35378185360248443,0.33587884526475437,0.017903008337730064,0.0013261487657577826
Austin Corbett,46290,G,CAR,2022,541,15,97.23,0.027726432532347505,False,2.1200000000000045,0.3505106435238162,0.33305369673055596,0.017456946793260264,0.0012931071698711308
Joe Thuney,10712,G,KC,2022,675,15,97.78,0.022222222222222223,False,4.3700000000000045,0.3139154749019607,0.2965319925948738,0.017383482307086917,0.0012876653560805124
Ryan Ramczyk,11787,T,NO,2022,536,20,96.27,0.03731343283582089,False,4.260000000000005,0.3366180924443778,0.31933019729687506,0.01728789514750273,0.001280584825740943
James Daniels,45576,G,PIT,2022,686,20,97.08,0.029154518950437316,False,3.6500000000000057,0.35683947420348044,0.33960695698492077,0.017232517218559673,0.001276482756930346
Penei Sewell,81788,T,DET,2022,663,28,95.78,0.042232277526395176,False,7.290000000000006,0.37159828985036425,0.3543865988628778,0.017211690987486428,0.0012749400731471429
Jack Conklin,10642,T,CLV,2022,508,13,97.44,0.025590551181102362,False,6.299999999999997,0.27062615625327485,0.2534996254103088,0.01712653084296606,0.001268631914293782
Jon Runyan,36661,G,GB,2022,613,17,97.23,0.02773246329526917,False,4.6200000000000045,0.3418125565818932,0.324780767038467,0.017031789543426212,0.0012616140402537934
Shaq Mason,9564,G,TB,2022,813,25,96.92,0.03075030750307503,False,5.5,0.36333501032851145,0.3463764011390591,0.016958609189452356,0.0012561932732927672
Joel Bitonio,8670,G,CLV,2022,667,20,97.0,0.029985007496251874,False,6.299999999999997,0.35374857169837076,0.33694593139549067,0.01680264030288009,0.0012446400224355623
Robert Hunt,46139,G,MIA,2022,675,21,96.89,0.03111111111111111,False,7.719999999999999,0.3598528222716273,0.3431624820171249,0.01669034025450239,0.0012363215003335104
Isaac Seumalo,10713,G,PHI,2022,653,20,96.94,0.030627871362940276,False,8.930000000000007,0.35561931386211965,0.33894351156885083,0.016675802293268815,0.0012352446143162085
Cesar Ruiz,59857,G,NO,2022,516,14,97.29,0.027131782945736434,False,4.260000000000005,0.3275522993770645,0.311021432702958,0.01653086667410647,0.0012245086425264051
Trent Williams,5529,T,SF,2022,466,15,96.78,0.032188841201716736,False,2.780000000000001,0.29045668820721227,0.2740064569581315,0.016450231249080793,0.0012185356480800588
Landon Dickerson,41712,G,PHI,2022,614,18,97.07,0.029315960912052116,False,8.930000000000007,0.33482540654328785,0.31867037740897575,0.016155029134312104,0.0011966688247638595
Morgan Moses,8701,T,BLT,2022,558,24,95.7,0.043010752688172046,False,3.3599999999999994,0.34770624435050757,0.33186431421334495,0.01584193013716262,0.0011734763064564903
Damien Lewis,81532,G,SEA,2022,634,19,97.0,0.02996845425867508,False,4.519999999999996,0.3323388809077976,0.3165342499831382,0.01580463092465939,0.0011707134018266215
Brady Christensen,51985,G,CAR,2022,533,17,96.81,0.03189493433395872,False,2.1200000000000045,0.34380448936772984,0.32812127194162566,0.01568321742610418,0.0011617198093410502
Kevin Zeitler,7032,G,BLT,2022,524,16,96.95,0.030534351145038167,False,3.3599999999999994,0.33085394523331224,0.31528491457268976,0.015569030660622485,0.0011532615304164803
Elgton Jenkins,46298,G,GB,2022,562,17,96.98,0.030249110320284697,False,4.6200000000000045,0.31253629598798205,0.29771812898035066,0.014818167007631389,0.001097642000565288
Braden Smith,46794,T,IND,2022,669,30,95.52,0.04484304932735426,False,4.309999999999988,0.33702599470186134,0.3222804315582857,0.014745563143575668,0.0010922639365611607
Christian Darrisaw,77373,T,MIN,2022,571,20,96.5,0.03502626970227671,False,5.280000000000001,0.27104117041767667,0.2564272816201955,0.014613888797481156,0.0010825102812949004
Abraham Lucas,60218,T,SEA,2022,633,28,95.58,0.044233807266982623,False,4.519999999999996,0.326858865943432,0.31234906933383,0.014509796609602,0.0010747997488594074
Taylor Decker,10650,T,DET,2022,665,33,95.04,0.04962406015037594,False,7.290000000000006,0.3697890006096322,0.3554573634235169,0.014331637186115298,0.0010616027545270591
Jason Kelce,6343,C,PHI,2022,653,11,98.32,0.016845329249617153,False,8.930000000000007,0.36077655244473406,0.346547542035897,0.014229010408837062,0.0010540007710249674
Jermaine Eluemunor,11914,T,LV,2022,583,26,95.54,0.044596912521440824,False,4.579999999999998,0.31710798430110704,0.30315182208206615,0.01395616221904089,0.001033789794003029
James Hurst,9001,T,NO,2022,546,26,95.24,0.047619047619047616,False,4.260000000000005,0.3391628185734781,0.3252985191305665,0.013864299442911565,0.0010269851439193751
Will Hernandez,46180,G,ARZ,2022,565,16,97.17,0.02831858407079646,False,6.77000000000001,0.27554357132355095,0.26191633101951267,0.01362724030403828,0.0010094252077065392
Cole Strange,22976,G,NE,2022,598,23,96.15,0.038461538461538464,False,5.210000000000008,0.34490048797696365,0.3314732710437335,0.01342721693323018,0.000994608661720754
Jake Brendel,11117,C,SF,2022,591,12,97.97,0.02030456852791878,False,2.780000000000001,0.37303845083330334,0.3596383082289504,0.01340014260435296,0.000992603155877997
Brandon Scherff,9438,G,JAX,2022,670,27,95.97,0.04029850746268657,False,2.469999999999999,0.35762815299329037,0.3443722540730439,0.013255898920246478,0.0009819184385367761
Cam Fleming,8775,T,DEN,2022,605,28,95.37,0.04628099173553719,False,4.760000000000005,0.3121511067525899,0.29895231153825896,0.013198795214330927,0.0009776885343948836
Josh Myers,59992,C,GB,2022,643,13,97.98,0.02021772939346812,False,4.6200000000000045,0.36136704108118467,0.34834264126304193,0.01302439981814274,0.0009647703568994622
Kolton Miller,47013,T,LV,2022,644,33,94.88,0.05124223602484472,False,4.579999999999998,0.3478520970004316,0.33493080009121534,0.012921296909216284,0.0009571331043863914
Frank Ragnow,39137,C,DET,2022,627,13,97.93,0.02073365231259968,False,7.290000000000006,0.3594434510277383,0.3466675372673834,0.012775913760354862,0.0009463639822485083
Dion Dawkins,11818,T,BUF,2022,626,30,95.21,0.04792332268370607,False,4.170000000000002,0.31329898009543095,0.30056837472074716,0.01273060537468379,0.0009430078055321326
Terron Armstead,7856,T,MIA,2022,435,15,96.55,0.034482758620689655,False,7.719999999999999,0.23099468398366604,0.21837132164695866,0.012623362336707383,0.0009350638767931395
Nick Leverett,27699,G,TB,2022,513,12,97.66,0.023391812865497075,False,5.5,0.23098791189406978,0.21837716469628712,0.012610747197782657,0.0009341294220579746
Quenton Nelson,12954,G,IND,2022,720,31,95.69,0.043055555555555555,False,4.309999999999988,0.36339937704949726,0.35097665211933415,0.01242272493016311,0.0009202018466787489
Connor Williams,46216,C,MIA,2022,676,15,97.78,0.022189349112426034,False,7.719999999999999,0.36375801298574933,0.35137967042301094,0.012378342562738398,0.000916914263906548
Corey Linsley,8796,C,LAC,2022,552,5,99.09,0.009057971014492754,False,8.77000000000001,0.2586590773822652,0.2464020937272475,0.012256983655017678,0.0009079247151864947
Charles Leno Jr.,8880,T,WAS,2022,669,37,94.47,0.05530642750373692,False,5.009999999999991,0.37022121988969814,0.35806045278388504,0.012160767105813097,0.0009007975633935628
Terence Steele,39461,T,DAL,2022,439,20,95.44,0.04555808656036447,False,3.710000000000008,0.27679965651010485,0.2648649231212481,0.011934733388856755,0.0008840543251005003
Nate Davis,46808,G,TEN,2022,385,14,96.36,0.03636363636363636,False,7.539999999999992,0.28955657793991413,0.277622133169123,0.011934444770791142,0.000884032945984529
Laken Tomlinson,9461,G,NYJ,2022,713,32,95.51,0.04488078541374474,False,4.579999999999998,0.3691384296412129,0.357207692711668,0.011930736929544883,0.0008837582910773987
Creed Humphrey,59996,C,KC,2022,769,18,97.66,0.02340702210663199,False,4.3700000000000045,0.3572047344220097,0.34547765889440457,0.011727075527605102,0.0008686722613040816
Andrew Norwell,9126,G,WAS,2022,639,29,95.46,0.04538341158059468,False,5.009999999999991,0.35737843646577483,0.34600568170103707,0.011372754764737758,0.0008424262788694635
David Bakhtiari,7891,T,GB,2022,339,10,97.05,0.029498525073746312,False,4.6200000000000045,0.18858393973917237,0.17726080625819232,0.011323133480980047,0.0008387506282207442
