player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Marshal Yanda,3702,G,BLT,13,0,3,92.7,0,6,572,100.0,100.0,99.5,2,6,0,612,612,91.6,0,3,253,100.0,100.0,99.4,3,0,270,270,99.02,98.89
Josh Sitton,4449,G,CHI,13,0,6,91.2,0,6,440,100.0,100.0,99.3,4,6,0,468,468,91.8,0,2,200,100.0,100.0,99.5,2,0,214,214,98.72,99.07
Rodney Hudson,6207,C,OAK,16,0,23,89.3,0,9,629,100.0,100.0,99.3,1,9,0,684,684,85.8,0,4,251,100.0,100.0,99.2,4,0,271,271,98.68,98.52
Travis Frederick,7812,C,DAL,16,0,9,85.1,1,8,538,100.0,100.0,99.2,2,9,0,571,571,88.2,1,4,266,100.0,100.0,99.1,5,0,283,283,98.42,98.23
Max Unger,4972,C,NO,15,0,20,83.7,2,8,656,100.0,100.0,99.1,1,11,1,697,697,83.0,0,4,250,100.0,100.0,98.8,5,1,273,273,98.42,98.17
Weston Richburg,8678,C,NYG,16,0,21,86.0,1,8,611,100.0,100.0,98.9,1,11,2,644,644,82.5,0,4,269,100.0,100.0,98.5,6,2,286,286,98.29,97.9
Kelechi Osemele,7062,G,OAK,15,0,23,81.7,2,9,582,100.0,100.0,99.1,3,11,0,635,635,73.4,2,7,232,100.0,100.0,98.1,9,0,251,251,98.27,96.41
Nick Mangold,2974,C,NYJ,8,0,22,74.7,1,4,270,100.0,100.0,99.1,0,5,0,285,285,67.3,0,1,97,100.0,100.0,99.5,1,0,103,103,98.25,99.03
T.J. Lang,5032,G,GB,13,1,12,91.5,0,10,496,100.0,100.0,99.0,2,10,0,533,533,81.4,0,10,213,100.0,100.0,97.7,10,0,232,232,98.12,95.69
Joe Berger,2424,C,MIN,14,0,18,85.7,3,4,507,100.0,100.0,98.7,0,10,3,530,530,80.6,2,3,227,100.0,100.0,97.6,8,3,242,242,98.11,96.69
Ryan Kalil,3675,C,CAR,8,0,5,78.6,2,3,284,100.0,100.0,98.8,1,6,1,310,310,76.7,1,2,145,100.0,100.0,98.3,4,1,156,156,98.06,97.44
Corey Linsley,8796,C,GB,9,0,12,82.7,0,8,390,100.0,100.0,99.0,1,8,0,410,410,80.8,0,5,179,100.0,100.0,98.6,5,0,191,191,98.05,97.38
Mitch Morse,9482,C,KC,16,0,16,80.1,2,11,601,100.0,100.0,98.9,1,13,0,628,628,75.0,2,2,201,100.0,100.0,99.0,4,0,216,216,97.93,98.15
Brandon Linder,8728,C,JAX,14,0,15,83.6,2,9,569,100.0,100.0,98.7,0,13,2,611,611,80.4,1,5,263,100.0,100.0,98.1,8,2,292,292,97.87,97.26
Justin Britt,8699,C,SEA,15,0,29,77.8,0,14,602,100.0,100.0,98.8,0,14,0,640,640,82.6,0,6,218,100.0,100.0,98.6,6,0,236,236,97.81,97.46
Maurkice Pouncey,5543,C,PIT,15,0,25,79.1,1,10,539,100.0,100.0,98.6,1,13,2,583,583,66.2,1,7,239,100.0,100.0,97.5,10,2,254,254,97.77,96.06
Cody Whitehair,10690,C,CHI,16,1,6,86.7,2,9,589,100.0,100.0,98.6,2,14,3,629,629,82.2,2,6,283,100.0,100.0,97.9,10,2,303,303,97.77,96.7
Travis Swanson,8711,C,DET,12,0,11,79.2,3,7,479,100.0,100.0,98.5,1,12,2,516,516,71.4,2,5,217,100.0,100.0,97.9,8,1,236,236,97.67,96.61
Andrew Whitworth,3000,T,CIN,16,2,7,93.7,0,11,604,98.1,98.2,98.4,3,15,4,639,651,87.4,0,10,235,100.0,100.0,96.6,13,3,253,253,97.65,94.86
J.C. Tretter,7904,C,GB,7,0,12,82.5,1,5,307,100.0,100.0,98.4,1,8,2,334,334,77.9,0,4,117,100.0,100.0,97.4,5,1,130,130,97.6,96.15
Matt Paradis,8841,C,DEN,16,0,10,82.7,0,14,628,100.0,100.0,98.4,0,17,3,673,673,79.7,0,9,298,100.0,100.0,98.2,10,1,327,327,97.47,96.94
Anthony Steen,9315,C,MIA,8,0,17,73.3,0,7,251,100.0,100.0,98.6,0,7,0,266,266,70.5,0,4,94,100.0,100.0,97.9,4,0,100,100,97.37,96.0
Spencer Long,8713,C,WAS,13,1,32,84.7,4,8,466,100.0,100.0,98.5,1,13,1,495,495,81.9,3,6,224,100.0,100.0,97.5,10,1,238,238,97.37,95.8
Greg Mancz,10019,C,HST,16,0,13,84.6,4,13,628,100.0,100.0,98.5,0,18,1,670,670,77.7,4,9,303,100.0,100.0,97.5,14,1,324,324,97.31,95.68
Terron Armstead,7856,T,NO,7,1,20,86.6,2,3,240,100.0,100.0,98.1,1,7,2,260,260,81.2,1,2,92,100.0,100.0,97.3,4,1,103,103,97.31,96.12
Alex Mack,4944,C,ATL,16,0,2,80.0,4,11,590,100.0,100.0,98.4,1,17,2,625,625,78.0,1,6,209,100.0,100.0,97.8,8,1,227,227,97.28,96.48
B.J. Finney,9875,G,PIT,8,0,25,80.8,1,3,172,100.0,100.0,98.3,0,5,1,183,183,77.6,1,3,89,100.0,100.0,96.6,5,1,92,92,97.27,94.57
