player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Rodney Hudson,6207,C,OAK,16,0,23,91.1,1,1,592,100.0,100.0,99.7,2,3,1,635,635,88.0,1,0,235,100.0,100.0,99.8,1,0,260,260,99.53,99.62
Brandon Linder,8728,C,JAX,13,0,15,84.4,2,5,483,100.0,99.8,99.3,1,7,0,514,515,80.9,1,4,234,100.0,100.0,98.9,5,0,254,254,98.64,98.03
Mike Person,6391,C,IND,7,0,14,81.3,0,3,194,100.0,100.0,99.2,1,3,0,203,203,79.6,0,2,109,100.0,100.0,99.1,2,0,113,113,98.52,98.23
Justin Britt,8699,C,SEA,16,2,29,74.4,1,9,651,100.0,100.0,99.1,4,11,1,712,712,68.3,1,6,275,100.0,100.0,98.4,8,1,304,304,98.46,97.37
Brett Jones,10247,C,NYG,15,0,21,82.1,1,7,571,100.0,100.0,98.9,1,10,2,605,605,76.4,0,3,233,100.0,100.0,98.9,4,1,253,253,98.35,98.42
Weston Richburg,8678,C,NYG,4,0,21,74.6,2,1,162,100.0,100.0,99.1,1,3,0,173,173,76.8,0,1,65,100.0,100.0,99.2,1,0,73,73,98.27,98.63
Mike Pouncey,6167,C,MIA,16,0,17,77.0,3,8,608,100.0,100.0,98.9,1,12,1,637,637,69.8,3,7,242,100.0,100.0,97.9,10,0,253,253,98.12,96.05
Zack Martin,8651,G,DAL,16,0,9,87.2,1,9,531,100.0,100.0,98.9,0,11,1,581,581,85.0,1,6,265,100.0,100.0,98.3,8,1,297,297,98.11,97.31
Ryan Jensen,7985,C,BLT,16,1,3,66.7,1,8,596,100.0,100.0,98.7,2,12,3,625,625,56.9,1,5,209,100.0,100.0,97.1,9,3,217,217,98.08,95.85
Travis Frederick,7812,C,DAL,16,0,9,82.6,3,9,555,100.0,100.0,98.9,1,12,0,609,609,84.2,0,6,279,100.0,100.0,98.9,6,0,314,314,98.03,98.09
Chase Roullier,11954,C,WAS,8,0,32,70.6,2,4,289,100.0,100.0,99.0,0,6,0,297,297,71.0,1,4,146,100.0,100.0,98.3,5,0,146,146,97.98,96.58
Spencer Long,8713,C,WAS,7,0,32,75.0,2,2,223,100.0,100.0,98.7,0,5,1,234,234,79.7,0,1,93,100.0,100.0,99.5,1,0,99,99,97.86,98.99
Andrew Norwell,9126,G,CAR,16,2,5,92.1,0,13,564,100.0,100.0,98.8,2,13,0,601,601,90.0,0,9,305,100.0,100.0,98.5,9,0,325,325,97.84,97.23
Zach Fulton,8828,C,KC,13,0,16,80.8,1,10,466,100.0,100.0,98.8,0,11,0,492,492,69.7,0,6,169,100.0,100.0,98.2,6,0,180,180,97.76,96.67
Matt Paradis,8841,C,DEN,16,0,10,80.1,4,12,655,100.0,100.0,98.8,0,16,0,698,698,74.1,2,6,275,100.0,100.0,98.5,8,0,293,293,97.71,97.27
David DeCastro,7640,G,PIT,15,1,25,89.5,1,14,589,100.0,100.0,98.7,3,15,0,636,636,84.4,1,11,296,100.0,100.0,98.0,12,0,321,321,97.64,96.26
Max Unger,4972,C,NO,16,0,20,72.1,3,9,559,100.0,100.0,98.6,0,14,2,589,589,65.9,2,6,224,100.0,100.0,97.8,9,1,239,239,97.62,96.23
David Bakhtiari,7891,T,GB,12,0,12,94.6,2,9,455,100.0,100.0,98.6,2,12,1,487,487,92.3,2,5,184,100.0,100.0,98.1,7,0,207,207,97.54,96.62
Alex Mack,4944,C,ATL,16,0,2,81.6,1,12,568,100.0,100.0,98.5,0,15,2,599,599,70.5,1,8,234,100.0,100.0,97.6,10,1,245,245,97.5,95.92
A.Q. Shipley,5150,C,ARZ,16,1,1,77.9,3,10,664,100.0,100.0,98.3,2,18,5,713,713,72.1,2,6,300,100.0,100.0,98.0,10,2,323,323,97.48,96.9
Richie Incognito,2298,G,BUF,16,0,4,84.1,2,11,565,100.0,100.0,98.5,1,15,2,596,596,76.5,2,9,265,100.0,100.0,97.2,13,2,280,280,97.48,95.36
Brandon Brooks,7078,G,PHI,16,0,24,87.3,3,14,607,100.0,100.0,98.6,1,17,0,648,648,76.3,2,11,245,100.0,100.0,97.3,13,0,263,263,97.38,95.06
Eric Wood,4951,C,BUF,16,0,4,78.3,2,13,569,100.0,100.0,98.5,2,16,1,600,600,73.1,1,10,268,100.0,100.0,97.6,12,1,283,283,97.33,95.76
Kelechi Osemele,7062,G,OAK,16,0,23,81.3,3,12,591,100.0,100.0,98.4,1,17,2,634,634,71.8,2,8,235,100.0,100.0,97.0,12,2,260,260,97.32,95.38
John Jerry,5598,G,NYG,16,1,21,76.2,2,13,591,100.0,100.0,98.4,3,17,2,625,625,60.7,2,10,255,100.0,100.0,97.3,13,1,277,277,97.28,95.31
Mitch Morse,9482,C,KC,7,0,16,70.4,0,7,245,100.0,100.0,98.6,0,7,0,255,255,59.0,0,5,91,100.0,100.0,97.3,5,0,97,97,97.25,94.85
Jason Peters,2148,T,PHI,7,0,24,90.6,0,6,237,100.0,100.0,98.3,1,7,1,252,252,81.9,0,5,87,100.0,100.0,96.0,6,1,93,93,97.22,93.55
Nick Easton,9861,G,MIN,12,0,18,64.9,3,9,401,100.0,100.0,98.5,1,12,0,425,425,70.2,0,8,169,100.0,100.0,97.6,8,0,184,184,97.18,95.65
