player,player_id,position,team_name,year,snap_counts_pass_block,pressures_allowed,all_pass_pbwr,pressure_rate,is_weak_link,team_pbwr_range,player_epa,replacement_epa,epa_above_replacement,pass_blocking_war
Josh Sitton,4449,G,GB,2013,685,8,98.83,0.01167883211678832,False,11.179999999999993,0.36063096288344676,0.33298767968244186,0.027643283201004898,0.002047650607481844
Louis Vasquez,5001,G,DEN,2013,740,15,97.97,0.02027027027027027,False,3.6599999999999966,0.3746255877791168,0.3490241519375665,0.025601435841550335,0.0018964026549296545
Larry Warford,7846,G,DET,2013,694,15,97.84,0.021613832853025938,False,5.939999999999998,0.36734488233293144,0.3426961502808643,0.024648732052067135,0.001825832003856825
Orlando Franklin,6198,T,DEN,2013,661,24,96.37,0.036308623298033284,False,3.6599999999999966,0.3290434181712277,0.307054503895018,0.021988914276209692,0.0016288084649044216
Joe Staley,3644,T,SF,2013,494,20,95.95,0.04048582995951417,False,4.400000000000006,0.328383325000347,0.30780804651600757,0.020575278484339432,0.0015240947025436616
Jahri Evans,3053,G,NO,2013,647,18,97.22,0.027820710973724884,False,5.849999999999994,0.33330341674158126,0.31292339222545673,0.02038002451612453,0.001509631445638854
Willie Colon,3076,G,NYJ,2013,579,18,96.89,0.031088082901554404,False,6.810000000000002,0.34983169084006377,0.32960205885267524,0.02022963198738853,0.0014984912583250762
Joe Thomas,3619,T,CLV,2013,779,37,95.25,0.04749679075738126,False,6.88000000000001,0.36233366828056635,0.34221886558437803,0.020114802696188316,0.0014899853849028382
Uche Nwaneri,3765,G,JAX,2013,689,27,96.08,0.03918722786647315,False,7.11999999999999,0.40177087107217513,0.3818418605948745,0.019929010477300613,0.001476222998318564
Kraig Urbik,5002,G,BUF,2013,633,20,96.84,0.0315955766192733,False,9.75,0.3470399919534828,0.32714108338032044,0.019898908573162344,0.0014739932276416551
Cordy Glenn,7045,T,BUF,2013,645,30,95.35,0.046511627906976744,False,9.75,0.34807935614943647,0.328389908078155,0.01968944807128148,0.0014584776349097393
Tyron Smith,6161,T,DAL,2013,666,31,95.35,0.046546546546546545,False,2.3999999999999915,0.3459509319549927,0.32637983815414673,0.019571093800845984,0.0014497106519145173
Ben Grubbs,3645,G,NO,2013,740,28,96.22,0.03783783783783784,False,5.849999999999994,0.3772491312019272,0.3579855920631038,0.019263539138823393,0.0014269288250980292
Kevin Boothe,3121,G,NYG,2013,638,25,96.08,0.03918495297805643,False,6.25,0.3872705148957372,0.3680490070671646,0.019221507828572626,0.0014238153947090835
Jordan Gross,1324,T,CAR,2013,578,29,94.98,0.050173010380622836,False,6.670000000000002,0.3613038045629656,0.34223399943598326,0.019069805126982364,0.0014125781575542492
Zach Strief,3155,T,NO,2013,685,33,95.18,0.04817518248175182,False,5.849999999999994,0.34534570323736347,0.32640158017336524,0.01894412306399823,0.00140326837511098
Trent Williams,5529,T,WAS,2013,712,35,95.08,0.04915730337078652,False,3.219999999999999,0.34685528979104724,0.3281816182394383,0.018673671551608928,0.0013832349297488095
T.J. Lang,5032,G,GB,2013,671,24,96.42,0.03576751117734724,False,11.179999999999993,0.3444820134133489,0.3261703637983134,0.018311649615035508,0.0013564184900026301
Evan Mathis,2296,G,PHI,2013,623,24,96.15,0.038523274478330656,False,7.259999999999991,0.35395577417396484,0.3361103052491579,0.01784546892480693,0.0013218865870227355
Andrew Whitworth,3000,T,CIN,2013,538,22,95.91,0.040892193308550186,False,2.25,0.2830347898882739,0.2653577804505198,0.017677009437754132,0.0013094081065003062
Marshal Yanda,3702,G,BLT,2013,723,29,95.99,0.040110650069156296,False,4.269999999999996,0.35909632504390776,0.34157589068843197,0.01752043435547579,0.0012978099522574658
Matt Slauson,5117,G,CHI,2013,664,26,96.08,0.0391566265060241,False,10.230000000000004,0.3520361242578079,0.3345336313427123,0.01750249291509559,0.0012964809566737474
Justin Blalock,3655,G,ATL,2013,753,31,95.88,0.041168658698539175,False,6.710000000000008,0.3659656047378379,0.3485228866147641,0.017442718123073797,0.0012920531943017627
Demar Dotson,5410,T,TB,2013,615,34,94.47,0.055284552845528454,False,3.969999999999999,0.36029341350156385,0.34315442253466133,0.017138990966902523,0.001269554886437224
John Jerry,5598,G,MIA,2013,682,25,96.33,0.036656891495601175,False,7.1200000000000045,0.3276284691426448,0.3104916588413276,0.017136810301317196,0.0012693933556531256
Rob Sims,3073,G,DET,2013,694,29,95.82,0.04178674351585014,False,5.939999999999998,0.3596232500672773,0.3426961502808643,0.01692709978641299,0.0012538592434379993
Chris Clark,4623,T,DEN,2013,644,32,95.03,0.049689440993788817,False,3.6599999999999966,0.3160245848185422,0.2991404442429445,0.016884140575597673,0.0012506770796739018
Kory Lichtensteiger,4422,G,WAS,2013,698,29,95.85,0.04154727793696275,False,3.219999999999999,0.3428357433093466,0.32658047846195426,0.016255264847392314,0.0012040936923994308
Travelle Wharton,1815,G,CAR,2013,474,17,96.41,0.035864978902953586,False,6.670000000000002,0.300794397210242,0.28479114919931053,0.016003248010931448,0.0011854257785875147
Khalif Barnes,2269,T,OAK,2013,629,39,93.8,0.06200317965023847,False,8.469999999999999,0.39222384958324485,0.37630980246212714,0.015914047121117714,0.0011788183052679787
David Bakhtiari,7891,T,GB,2013,685,39,94.31,0.05693430656934306,False,11.179999999999993,0.34383223596802936,0.3280292422713607,0.015802993696668655,0.0011705921256791596
Andy Levitre,4974,G,TEN,2013,643,30,95.33,0.04665629860031104,False,2.3299999999999983,0.3713312793167282,0.35571606711587445,0.015615212200853767,0.0011566823852484271
Tyler Polumbus,4581,T,WAS,2013,713,41,94.25,0.05750350631136045,False,3.219999999999999,0.3442522832752801,0.3286434783165926,0.01560880495868755,0.0011562077747175963
Brandon Fusco,6324,G,MIN,2013,563,23,95.91,0.04085257548845471,False,4.730000000000004,0.3221703943597467,0.30667953754541527,0.015490856814331433,0.0011474708751356617
Nate Solder,6169,T,NE,2013,646,35,94.58,0.05417956656346749,False,1.269999999999996,0.3161035728396806,0.3006705823289442,0.015432990510736377,0.0011431844822767686
