player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Ryan Kelly,10652,C,IND,14,0,14,78.3,0,6,498,100.0,100.0,99.2,0,7,1,534,534,71.1,0,5,220,100.0,100.0,98.4,6,1,240,240,98.69,97.5
Robert Hunt,46139,G,MIA,10,1,17,74.5,1,3,314,100.0,100.0,99.0,2,5,1,329,329,69.8,0,2,89,100.0,100.0,98.9,2,0,92,92,98.48,97.83
Nick Harris,46752,C,CLV,14,0,8,66.3,0,3,164,97.0,96.6,99.1,1,3,0,169,175,73.3,0,2,75,100.0,100.0,98.7,2,0,78,78,98.22,97.44
Isaiah Wynn,46048,G,MIA,7,0,17,67.5,0,4,213,100.0,100.0,99.1,0,4,0,224,224,50.4,0,3,58,100.0,100.0,97.4,3,0,60,60,98.21,95.0
Jason Kelce,6343,C,PHI,17,0,24,70.2,1,10,627,100.0,100.0,99.0,0,12,1,654,654,70.9,0,8,301,100.0,100.0,98.7,8,0,317,317,98.17,97.48
Terron Armstead,7856,T,MIA,10,0,17,79.5,0,5,302,100.0,100.0,98.8,0,6,1,317,317,66.4,0,4,82,100.0,100.0,96.3,5,1,85,85,98.11,94.12
Brandon Scherff,9438,G,JAX,17,0,15,78.7,2,11,671,100.0,100.0,98.7,1,15,2,710,710,70.1,2,8,294,100.0,100.0,97.6,12,2,319,319,97.89,96.24
Connor Williams,46216,C,MIA,9,0,17,71.7,1,4,269,100.0,100.0,98.7,1,6,1,280,280,66.3,1,3,69,100.0,100.0,97.1,4,0,72,72,97.86,94.44
Creed Humphrey,59996,C,KC,17,0,16,78.6,3,9,697,100.0,100.0,98.6,2,16,4,741,741,79.3,2,4,336,100.0,100.0,98.2,9,3,367,367,97.84,97.55
Lloyd Cushenberry III,41924,C,DEN,17,0,10,76.4,4,9,601,100.0,100.0,98.8,2,14,1,647,647,63.7,4,7,263,100.0,100.0,97.5,12,1,286,286,97.84,95.8
Chris Lindstrom,46692,G,ATL,16,2,2,78.6,2,10,574,100.0,100.0,98.4,2,15,3,606,606,74.9,1,7,214,100.0,100.0,97.2,10,2,224,224,97.52,95.54
Tyler Smith,98385,G,DAL,14,2,9,68.7,2,14,565,100.0,100.0,98.4,7,17,1,608,608,69.2,1,7,232,100.0,100.0,97.8,9,1,255,255,97.2,96.47
Tyler Linderbaum,82291,C,BLT,15,0,3,76.1,3,12,497,100.0,100.0,98.5,0,15,0,534,534,75.7,2,9,236,100.0,100.0,97.7,11,0,257,257,97.19,95.72
Jarrett Patterson,81775,C,HST,7,0,13,53.7,1,7,257,100.0,100.0,98.4,0,8,0,277,277,56.5,1,4,112,100.0,100.0,97.8,5,0,119,119,97.11,95.8
Ted Karras,10855,C,CIN,17,0,7,69.6,3,12,689,100.0,100.0,98.0,1,21,6,725,725,63.4,1,10,313,100.0,100.0,96.6,16,5,331,331,97.1,95.17
Ethan Pocic,11813,C,CLV,15,1,8,70.7,2,14,541,100.0,100.0,98.3,2,17,1,582,582,68.6,1,9,237,100.0,100.0,97.9,10,0,255,255,97.08,96.08
Penei Sewell,81788,T,DET,17,0,11,78.1,5,14,639,99.8,99.9,98.4,4,20,1,674,675,74.1,5,9,288,100.0,100.0,97.2,15,1,300,300,97.03,95.0
Tyler Shatley,9257,G,JAX,10,0,15,51.3,3,5,288,100.0,100.0,98.3,0,9,1,302,302,36.7,1,3,121,100.0,100.0,97.5,5,1,131,131,97.02,96.18
Quenton Nelson,12954,G,IND,17,0,14,80.3,3,17,643,100.0,100.0,98.3,3,21,1,686,686,76.1,2,11,288,100.0,100.0,97.7,13,0,310,310,96.94,95.81
Frank Ragnow,39137,C,DET,15,0,11,73.9,5,12,546,100.0,100.0,98.3,1,18,1,576,576,63.8,2,9,248,100.0,100.0,97.4,12,1,258,258,96.88,95.35
T.J. Bass,131703,G,DAL,11,0,9,54.9,0,5,180,100.0,100.0,98.1,1,6,1,190,190,44.9,0,4,62,100.0,100.0,95.2,5,1,66,66,96.84,92.42
Andre James,47058,C,LV,16,0,23,71.2,4,11,556,100.0,100.0,97.9,1,19,4,583,583,64.6,0,7,269,100.0,100.0,97.6,10,3,285,285,96.74,96.49
Connor McGovern,41714,G,BUF,17,1,4,74.2,4,17,651,100.0,100.0,98.1,3,23,2,695,695,62.5,3,17,281,100.0,100.0,96.1,21,1,310,310,96.69,93.23
