player,player_id,position,team_name,year,snap_counts_pass_block,pressures_allowed,all_pass_pbwr,pressure_rate,is_weak_link,team_pbwr_range,player_epa,replacement_epa,epa_above_replacement,pass_blocking_war
Tristan Wirfs,64818,T,TB,2024,638,12,98.12,0.018808777429467086,False,3.780000000000001,0.33157557922240627,0.3083610572955518,0.02321452192685447,0.0017195942168040349
Garett Bolles,11775,T,DEN,2024,671,20,97.02,0.029806259314456036,False,3.0700000000000074,0.36315388566124235,0.3416772278778136,0.02147665778342872,0.0015908635395132386
Lane Johnson,7786,T,PHI,2024,451,10,97.78,0.022172949002217297,False,13.329999999999998,0.3133841852703887,0.2924544666607725,0.020929718609616177,0.0015503495266382353
Laremy Tunsil,10647,T,HST,2024,659,19,97.12,0.028831562974203338,False,5.340000000000003,0.34568128210287663,0.3248777473580293,0.020803534744847307,0.0015410025736923932
Quinn Meinerz,112915,G,DEN,2024,682,12,98.24,0.017595307917888565,False,3.0700000000000074,0.3738358454271893,0.3532089703091241,0.020626875118065158,0.001527916675412234
Brian O'Neill,46854,T,MIN,2024,664,19,97.14,0.0286144578313253,False,5.3700000000000045,0.3297648414541132,0.30983577857664557,0.01992906287746765,0.0014762268798124186
Taylor Moton,11819,T,CAR,2024,538,14,97.4,0.026022304832713755,False,4.980000000000004,0.3067960368286983,0.28744043281845394,0.019355604010244387,0.001433748445203288
Joe Alt,147481,T,LAC,2024,602,20,96.68,0.03322259136212625,False,2.25,0.3419371148726467,0.3228474447710136,0.019089670101633094,0.001414049637158007
Spencer Brown,42296,T,BUF,2024,537,17,96.83,0.03165735567970205,False,3.0900000000000034,0.328289603691475,0.30945640337347763,0.018833200317997345,0.0013950518754072107
Brandon Scherff,9438,G,JAX,2024,625,17,97.28,0.0272,False,3.1200000000000045,0.40741382292154693,0.3888315263420684,0.01858229657947852,0.0013764664132947051
Dion Dawkins,11818,T,BUF,2024,585,22,96.24,0.037606837606837605,False,3.0900000000000034,0.35543261042551105,0.33716864233748034,0.018263968088030713,0.0013528865250393121
Cody Mauch,66637,G,TB,2024,696,18,97.41,0.02586206896551724,False,3.780000000000001,0.3590647939460924,0.34218578471450506,0.01687900923158736,0.0012502969801175823
Zach Tom,55443,T,GB,2024,562,24,95.73,0.042704626334519574,False,3.3800000000000097,0.3615847072579716,0.3448733138503842,0.01671139340758737,0.0012378809931546202
Penei Sewell,81788,T,DET,2024,617,28,95.46,0.04538087520259319,False,3.219999999999999,0.37571202031073286,0.35939181350832383,0.016320206802409032,0.0012089042075858541
