player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Shaq Mason,9564,G,TB,17,0,30,72.9,9,15,763,100.0,100.0,98.3,0,25,1,813,813,70.3,5,12,338,100.0,100.0,97.2,18,1,363,363,96.92,95.04
Matt Feiler,9289,G,LAC,17,1,27,62.8,3,30,774,100.0,100.0,97.2,4,38,5,804,804,56.2,2,21,364,100.0,100.0,96.6,24,1,378,378,95.27,93.65
Robert Hainsey,59980,C,TB,17,1,30,73.0,7,13,750,100.0,100.0,98.7,1,20,0,800,800,65.0,3,7,335,100.0,100.0,98.5,10,0,360,360,97.5,97.22
Zion Johnson,99681,G,LAC,17,1,27,52.6,7,28,769,100.0,100.0,97.1,3,40,5,799,799,36.6,6,22,362,100.0,100.0,94.8,33,5,376,376,94.99,91.22
Kelvin Beachum,7229,T,ARZ,17,1,1,76.4,8,33,736,99.9,99.9,96.5,3,46,5,785,786,66.6,7,24,284,100.0,100.0,93.1,35,4,303,303,94.14,88.45
Ed Ingram,59819,G,MIN,17,1,18,44.4,18,29,729,100.0,100.0,95.3,2,58,11,775,775,29.6,14,24,343,100.0,100.0,91.8,47,9,364,364,92.52,87.09
Creed Humphrey,59996,C,KC,17,0,16,79.7,2,16,723,100.0,100.0,98.8,4,18,0,769,769,69.0,1,11,301,100.0,100.0,98.0,12,0,327,327,97.66,96.33
Orlando Brown Jr.,46227,T,KC,17,1,16,77.2,7,36,723,100.0,100.0,96.5,3,47,4,769,769,76.7,4,23,301,100.0,100.0,94.5,30,3,327,327,93.89,90.83
Ezra Cleveland,41973,G,MIN,17,1,18,53.2,20,28,713,100.0,100.0,95.9,3,53,5,759,759,43.2,15,24,340,100.0,100.0,93.1,43,4,361,361,93.02,88.09
Andrew Wylie,12333,T,KC,17,3,16,60.8,5,35,698,100.0,100.0,95.8,8,49,9,743,743,60.6,2,21,293,100.0,100.0,94.0,29,6,319,319,93.41,90.91
Cordell Volson,30614,G,CIN,16,1,7,52.9,11,22,682,100.0,100.0,96.8,3,38,5,729,729,58.5,5,14,297,100.0,100.0,95.8,22,3,321,321,94.79,93.15
Ted Karras,10855,C,CIN,16,0,7,76.2,2,16,681,100.0,100.0,98.4,0,20,2,728,728,71.2,1,12,297,100.0,100.0,97.1,15,2,321,321,97.25,95.33
Jonah Williams,41651,T,CIN,16,0,7,63.9,6,25,677,100.0,100.0,95.9,3,43,12,724,724,67.7,2,12,294,100.0,100.0,94.6,23,9,318,318,94.06,92.77
Alex Cappa,66578,G,CIN,16,0,7,71.4,4,13,677,100.0,100.0,98.3,0,20,3,724,724,69.2,2,10,295,100.0,100.0,96.9,15,3,319,319,97.24,95.3
Quenton Nelson,12954,G,IND,17,1,14,74.1,6,20,685,100.0,100.0,97.4,4,31,5,720,720,62.9,4,19,355,100.0,100.0,95.9,26,3,373,373,95.69,93.03
Laken Tomlinson,9461,G,NYJ,17,1,22,70.2,4,27,689,100.0,100.0,97.6,1,32,1,713,713,65.9,2,21,321,100.0,100.0,96.4,23,0,333,333,95.51,93.09
Connor McGovern,10778,C,NYJ,17,0,22,69.5,4,15,688,100.0,100.0,97.9,2,24,5,712,712,68.7,3,8,321,100.0,100.0,97.4,14,3,333,333,96.63,95.8
Brian O'Neill,46854,T,MIN,16,0,18,77.9,5,13,663,100.0,100.0,97.7,0,24,6,708,708,74.4,3,10,310,100.0,100.0,96.6,17,4,330,330,96.61,94.85
Rodger Saffold,5558,G,BUF,16,2,4,51.0,4,30,660,100.0,100.0,97.1,5,36,2,698,698,38.8,3,23,297,100.0,100.0,94.9,28,2,325,325,94.84,91.38
Trey Smith,62960,G,KC,16,2,16,69.0,2,28,656,100.0,100.0,97.4,4,32,2,697,697,59.8,2,16,269,100.0,100.0,95.9,20,2,293,293,95.41,93.17
Charles Cross,98401,T,SEA,17,0,29,63.9,4,37,651,99.8,99.9,95.8,3,48,7,693,694,62.4,2,28,302,100.0,100.0,93.4,35,5,324,324,93.07,89.2
