player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Jason Kelce,6343,C,PHI,16,0,24,62.0,3,13,707,100.0,100.0,98.3,0,20,4,756,756,66.9,0,9,335,100.0,100.0,97.8,12,3,363,363,97.35,96.69
Connor Williams,46216,G,DAL,16,0,9,66.6,2,24,710,100.0,100.0,97.6,2,30,4,739,739,59.3,2,18,310,100.0,100.0,96.1,22,2,323,323,95.94,93.19
Dan Feeney,11826,C,LAC,16,0,27,51.5,5,24,685,100.0,100.0,97.3,2,33,4,729,729,35.7,3,17,263,100.0,100.0,95.1,23,3,283,283,95.47,91.87
Forrest Lamp,11793,G,LAC,16,0,27,60.7,14,22,685,100.0,100.0,97.1,0,38,2,729,729,40.0,8,17,263,100.0,100.0,94.5,27,2,283,283,94.79,90.46
Jake Matthews,8641,T,ATL,16,0,2,84.0,6,20,685,100.0,100.0,97.7,0,29,3,724,724,80.7,3,12,298,100.0,100.0,96.8,17,2,320,320,95.99,94.69
Alejandro Villanueva,9091,T,PIT,16,1,25,77.1,13,27,675,99.9,99.9,96.6,4,43,3,724,725,59.8,9,20,255,100.0,100.0,93.5,31,2,285,285,94.06,89.12
Chris Lindstrom,46692,G,ATL,16,0,2,70.3,7,18,685,100.0,100.0,97.6,0,29,4,724,724,47.2,7,15,298,100.0,100.0,95.0,26,4,320,320,95.99,91.88
Jawaan Taylor,41665,T,JAX,16,1,15,51.8,6,44,686,100.0,100.0,95.2,3,58,8,718,718,53.0,4,28,327,100.0,100.0,93.3,38,6,338,338,91.92,88.76
Tristan Wirfs,64818,T,TB,16,0,30,81.0,7,14,651,100.0,100.0,98.2,0,22,1,702,702,76.4,4,10,287,100.0,100.0,97.2,15,1,317,317,96.87,95.27
Alex Cappa,66578,G,TB,16,1,30,68.8,13,14,651,100.0,100.0,97.9,1,27,0,702,702,56.0,10,11,287,100.0,100.0,96.3,21,0,317,317,96.15,93.38
