player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Anthony Castonzo,6174,T,IND,16,1,14,89.5,9,22,726,100.0,100.0,97.6,4,33,2,769,769,86.9,6,14,355,100.0,100.0,96.6,22,2,383,383,95.71,94.26
Jahri Evans,3053,G,NO,16,1,20,62.0,7,34,696,100.0,100.0,96.2,1,47,6,741,741,49.1,5,30,341,100.0,100.0,94.0,38,3,363,363,93.66,89.53
Ben Grubbs,3645,G,NO,16,0,20,76.3,6,27,692,100.0,100.0,97.5,1,34,1,737,737,66.3,6,17,340,100.0,100.0,96.3,24,1,362,362,95.39,93.37
Rob Sims,3073,G,DET,16,1,11,75.0,6,22,662,100.0,100.0,97.1,3,33,5,705,705,57.4,5,19,281,100.0,100.0,94.7,27,3,299,299,95.32,90.97
Austin Howard,5847,G,OAK,16,0,23,65.0,4,24,663,100.0,100.0,97.1,1,33,5,701,701,50.2,3,17,293,100.0,100.0,94.9,25,5,313,313,95.29,92.01
Jason Peters,2148,T,PHI,16,1,24,91.4,4,17,661,100.0,100.0,97.8,5,25,4,699,699,86.3,3,13,272,100.0,100.0,96.0,19,3,294,294,96.42,93.54
Zach Strief,3155,T,NO,16,0,20,76.4,6,31,653,100.0,100.0,96.7,1,40,3,694,694,66.1,5,27,319,100.0,100.0,94.4,34,2,338,338,94.24,89.94
Zane Beadles,5570,G,JAX,16,0,15,81.5,3,12,649,100.0,100.0,98.5,0,17,2,691,691,74.2,1,8,235,100.0,100.0,97.7,10,1,256,256,97.54,96.09
Donald Penn,3459,T,OAK,16,1,23,90.2,3,29,653,99.8,99.9,96.9,1,36,4,690,691,84.1,3,16,286,100.0,100.0,95.3,23,4,306,306,94.78,92.48
Maurkice Pouncey,5543,C,PIT,16,1,25,86.2,2,16,643,100.0,100.0,98.4,2,19,1,689,689,75.8,2,10,256,100.0,100.0,97.3,13,1,273,273,97.24,95.24
Kelvin Beachum,7229,T,PIT,16,1,25,91.2,3,9,643,100.0,100.0,98.0,4,19,7,689,689,85.0,0,6,256,100.0,100.0,96.1,13,7,273,273,97.24,95.24
David DeCastro,7640,G,PIT,16,0,25,81.3,2,23,643,100.0,100.0,97.6,2,28,3,689,689,70.9,1,13,256,100.0,100.0,96.5,16,2,273,273,95.94,94.14
Stefen Wisniewski,6200,C,OAK,16,1,23,73.2,3,12,650,99.8,99.9,98.7,1,16,1,687,688,78.7,2,7,284,99.6,99.7,98.4,9,0,303,304,97.67,97.03
Samson Satele,3676,C,MIA,16,1,17,63.9,12,15,643,100.0,100.0,97.4,2,30,3,684,684,51.0,6,11,282,100.0,100.0,96.3,19,2,304,304,95.61,93.75
J.D. Walton,5604,C,NYG,16,0,21,69.5,3,16,643,100.0,100.0,98.4,2,20,1,680,680,66.7,2,7,245,100.0,100.0,97.8,10,1,261,261,97.06,96.17
John Jerry,5598,G,NYG,16,1,21,73.6,2,23,642,100.0,100.0,97.4,1,29,4,679,679,71.9,2,12,245,100.0,100.0,96.3,16,2,261,261,95.73,93.87
Will Beatty,4983,T,NYG,16,0,21,78.5,10,19,641,100.0,100.0,97.3,6,32,3,678,678,71.6,6,15,245,100.0,100.0,94.5,24,3,261,261,95.28,90.8
Kyle Long,7801,G,CHI,15,0,6,85.0,2,13,629,100.0,100.0,98.8,3,15,0,675,675,80.8,2,10,285,100.0,100.0,97.9,12,0,310,310,97.78,96.13
Chad Rinehart,4410,G,SD,16,0,27,64.0,6,31,630,100.0,100.0,96.4,1,41,4,674,674,55.4,6,26,394,100.0,100.0,94.9,36,4,428,428,93.92,91.59
