player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Creed Humphrey,59996,C,KC,17,1,16,81.2,1,8,752,100.0,100.0,99.3,3,10,1,805,805,75.0,0,5,324,100.0,100.0,98.9,6,1,358,358,98.76,98.32
Joe Thuney,10712,G,KC,17,2,16,88.8,2,13,752,100.0,100.0,98.9,5,16,1,805,805,82.4,1,11,324,100.0,100.0,97.8,13,1,358,358,98.01,96.37
Trey Smith,62960,G,KC,17,1,16,63.6,8,37,752,100.0,100.0,96.5,5,49,4,805,805,49.5,4,29,324,100.0,100.0,93.7,37,4,358,358,93.91,89.66
Alex Cappa,66578,G,TB,17,0,30,69.6,7,20,762,100.0,100.0,97.6,0,32,5,796,796,53.6,3,20,332,100.0,100.0,95.3,27,4,347,347,95.98,92.22
Tristan Wirfs,64818,T,TB,17,1,30,84.2,2,10,762,100.0,100.0,99.0,2,14,2,796,796,81.0,1,7,332,100.0,100.0,98.5,9,1,347,347,98.24,97.41
Ryan Jensen,7985,C,TB,17,2,30,66.2,5,14,754,100.0,100.0,98.5,4,21,2,786,786,53.3,3,12,328,100.0,100.0,97.1,17,2,343,343,97.33,95.04
Donovan Smith,9467,T,TB,17,2,30,84.7,4,25,752,100.0,100.0,97.9,4,30,1,784,784,70.9,4,21,327,100.0,100.0,96.2,25,0,342,342,96.17,92.69
Mitch Morse,9482,C,BUF,17,1,4,72.4,2,21,731,100.0,100.0,98.2,4,25,2,779,779,62.4,1,15,318,100.0,100.0,96.9,18,2,341,341,96.79,94.72
Daryl Williams,9535,G,BUF,17,0,4,72.4,9,27,731,100.0,100.0,97.0,3,40,4,778,778,62.2,5,21,317,100.0,100.0,95.0,29,3,339,339,94.86,91.45
Kevin Zeitler,7032,G,BLT,17,0,3,79.7,0,16,724,100.0,100.0,98.8,3,17,1,771,771,64.6,0,14,290,100.0,100.0,97.2,15,1,310,310,97.8,95.16
Orlando Brown Jr.,46227,T,KC,16,3,16,76.1,12,20,715,100.0,100.0,97.2,5,36,4,765,765,63.8,9,15,306,100.0,100.0,94.8,28,4,339,339,95.29,91.74
Alejandro Villanueva,9091,T,BLT,17,1,3,58.7,9,36,717,100.0,100.0,95.6,7,54,9,764,764,38.0,6,30,295,100.0,100.0,91.9,42,6,315,315,92.93,86.67
Tyler Biadasz,41178,C,DAL,17,0,9,69.4,4,17,704,100.0,100.0,98.5,1,21,0,764,764,57.1,3,13,297,100.0,100.0,97.3,16,0,329,329,97.25,95.14
Rashawn Slater,59971,T,LAC,16,0,27,80.3,6,16,698,100.0,100.0,97.9,2,26,4,752,752,66.6,5,13,334,100.0,100.0,96.4,21,3,359,359,96.54,94.15
Robert Hunt,46139,G,MIA,17,1,17,68.3,3,26,688,100.0,100.0,97.6,4,31,2,740,740,60.5,0,18,256,100.0,100.0,95.7,20,2,284,284,95.81,92.96
Matt Feiler,9289,G,LAC,16,0,27,62.2,7,13,689,100.0,100.0,97.8,3,25,5,737,737,48.6,4,10,311,100.0,100.0,96.8,17,3,334,334,96.61,94.91
Storm Norton,12188,T,LAC,16,4,27,44.9,8,42,680,100.0,100.0,95.0,4,59,9,732,732,34.5,6,34,326,100.0,100.0,91.4,48,8,348,348,91.94,86.21
Kolton Miller,47013,T,LV,17,2,23,84.4,5,25,686,100.0,100.0,97.2,4,34,4,730,730,82.9,3,20,367,100.0,100.0,96.0,26,3,401,401,95.34,93.52
Andre James,47058,C,LV,17,0,23,68.8,3,12,686,100.0,100.0,98.6,0,17,2,730,730,71.9,2,9,367,100.0,100.0,98.2,12,1,401,401,97.67,97.01
Corey Linsley,8796,C,LAC,16,1,27,85.8,2,8,673,100.0,100.0,99.3,4,10,0,724,724,78.6,1,6,313,100.0,100.0,98.9,7,0,337,337,98.62,97.92
Dion Dawkins,11818,T,BUF,16,2,4,81.6,6,15,679,99.9,99.9,97.9,7,25,4,723,724,75.2,5,10,297,100.0,100.0,96.5,18,3,318,318,96.54,94.34
Bradley Bozeman,27934,C,BLT,16,0,3,75.2,3,15,673,100.0,100.0,98.2,0,21,3,718,718,70.4,3,9,275,100.0,100.0,97.5,13,1,294,294,97.08,95.58
Taylor Moton,11819,T,CAR,17,0,5,79.4,4,22,679,100.0,100.0,97.9,1,27,1,713,713,73.5,3,19,330,100.0,100.0,96.4,23,1,350,350,96.21,93.43
Jawaan Taylor,41665,T,JAX,17,2,15,72.0,3,25,667,100.0,100.0,97.0,9,34,6,712,712,67.2,2,19,318,100.0,100.0,95.4,25,4,338,338,95.22,92.6
Ali Marpet,9494,G,TB,16,0,30,77.8,2,17,686,100.0,100.0,98.5,1,20,1,712,712,67.0,1,14,296,100.0,100.0,97.1,16,1,307,307,97.19,94.79
John Simpson,41715,G,LV,17,1,23,62.7,5,29,666,100.0,100.0,97.0,5,37,3,710,710,48.7,5,20,355,100.0,100.0,95.6,28,3,389,389,94.79,92.8
Andrew Norwell,9126,G,JAX,17,1,15,73.5,5,16,664,100.0,100.0,98.0,4,24,3,709,709,59.7,5,14,316,100.0,100.0,96.4,21,2,336,336,96.61,93.75
Alex Leatherwood,58468,G,LV,17,3,23,29.0,17,40,664,100.0,100.0,94.5,5,65,8,708,708,23.4,13,35,354,100.0,100.0,91.8,53,5,388,388,90.82,86.34
Austin Jackson,60816,G,MIA,16,0,17,49.1,6,41,657,100.0,100.0,96.1,5,49,2,708,708,33.3,6,27,249,100.0,100.0,92.6,35,2,277,277,93.08,87.36
Liam Eichenberg,41851,T,MIA,17,3,17,46.9,8,45,655,100.0,100.0,94.6,5,62,9,704,704,31.0,6,30,241,100.0,100.0,89.2,44,8,267,267,91.19,83.52
Dan Moore Jr.,60120,T,PIT,16,1,25,58.9,9,30,653,100.0,100.0,95.9,1,46,7,704,704,41.1,7,26,275,100.0,100.0,92.5,37,4,295,295,93.47,87.46
Trai Turner,8727,G,PIT,17,2,25,72.7,0,13,651,100.0,100.0,97.9,2,20,7,702,702,61.6,0,12,268,100.0,100.0,96.3,16,4,288,288,97.15,94.44
James Daniels,45576,G,CHI,17,1,6,68.3,4,33,658,100.0,100.0,96.7,4,40,3,701,701,60.7,1,25,292,100.0,100.0,94.9,28,2,306,306,94.29,90.85
Cody Whitehair,10690,G,CHI,17,1,6,61.3,5,24,658,100.0,100.0,97.2,3,33,4,701,701,52.3,4,17,292,100.0,100.0,95.0,25,4,306,306,95.29,91.83
Sam Mustipher,13026,C,CHI,17,0,6,62.6,3,24,658,100.0,100.0,97.8,2,28,1,701,701,46.7,2,16,292,100.0,100.0,96.6,19,1,306,306,96.01,93.79
Ezra Cleveland,41973,G,MIN,17,0,18,55.5,6,27,652,100.0,100.0,97.3,1,34,1,695,695,40.0,4,23,265,100.0,100.0,94.5,28,1,280,280,95.11,90.0
Brian O'Neill,46854,T,MIN,17,0,18,77.5,2,19,652,100.0,100.0,98.2,0,22,1,695,695,72.5,0,12,265,100.0,100.0,97.4,13,1,280,280,96.83,95.36
Alijah Vera-Tucker,57107,G,NYJ,16,1,22,56.9,6,34,652,100.0,100.0,96.6,3,42,2,693,693,54.8,4,20,299,100.0,100.0,95.3,26,2,314,314,93.94,91.72
Jesse Davis,9989,T,MIA,17,1,17,51.1,10,39,644,100.0,100.0,95.0,2,57,8,692,692,42.1,7,23,237,100.0,100.0,90.7,37,7,261,261,91.76,85.82
Zack Martin,8651,G,DAL,16,0,9,88.7,5,13,636,100.0,100.0,98.4,1,19,1,688,688,79.5,5,10,268,100.0,100.0,96.8,16,1,293,293,97.24,94.54
Chukwuma Okorafor,46302,T,PIT,16,2,25,63.0,7,14,633,100.0,100.0,98.0,4,23,2,683,683,55.1,7,10,269,100.0,100.0,96.1,19,2,289,289,96.63,93.43
Morgan Moses,8701,T,NYJ,17,0,22,65.7,10,35,639,100.0,100.0,95.9,2,49,4,679,679,60.5,9,25,292,100.0,100.0,93.2,37,3,306,306,92.78,87.91
Charles Leno Jr.,8880,T,WAS,17,0,32,87.3,7,23,633,100.0,100.0,96.7,0,36,6,678,678,79.9,5,16,258,100.0,100.0,94.4,25,4,278,278,94.69,91.01
Will Hernandez,46180,G,NYG,17,2,21,56.0,7,22,628,100.0,100.0,96.6,3,36,7,676,676,55.6,4,13,276,100.0,100.0,95.5,21,4,296,296,94.67,92.91
David Edwards,35941,G,LA,17,1,26,70.1,2,27,645,100.0,100.0,96.8,1,35,6,674,674,59.3,2,19,291,100.0,100.0,94.7,26,5,310,310,94.81,91.61
Austin Corbett,46290,G,LA,17,0,26,63.8,6,25,644,100.0,100.0,97.1,2,34,3,674,674,49.5,5,18,290,100.0,100.0,95.0,26,3,309,309,94.96,91.59
Olisaemeka Udoh,28394,G,MIN,16,2,18,39.0,6,38,622,100.0,100.0,96.3,7,45,1,662,662,19.8,4,32,248,100.0,100.0,92.3,37,1,261,261,93.2,85.82
