player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Kevin Dotson,46735,G,PIT,8,0,25,87.2,0,1,206,100.0,100.0,99.8,1,1,0,219,219,87.7,0,1,81,100.0,100.0,99.4,1,0,91,91,99.54,98.9
Corey Linsley,8796,C,GB,13,0,12,82.8,2,1,403,100.0,100.0,99.4,0,4,1,437,437,75.1,1,0,156,100.0,100.0,99.0,2,1,174,174,99.08,98.85
J.C. Tretter,7904,C,CLV,16,0,8,84.9,0,5,548,100.0,100.0,99.4,1,6,1,583,583,75.2,0,4,219,100.0,100.0,99.1,4,0,236,236,98.97,98.31
Brandon Linder,8728,C,JAX,9,0,15,87.6,0,3,340,100.0,100.0,99.3,0,4,1,357,357,81.4,0,2,167,100.0,100.0,98.8,3,1,173,173,98.88,98.27
Austin Reiter,9655,C,KC,14,0,16,78.3,0,7,554,100.0,100.0,99.4,0,7,0,595,595,76.5,0,4,216,100.0,100.0,99.1,4,0,238,238,98.82,98.32
James Hurst,9001,T,NO,12,0,20,84.1,0,0,145,100.0,99.4,98.6,0,2,2,154,155,73.6,0,0,55,100.0,100.0,96.4,2,2,59,59,98.7,96.61
Frank Ragnow,39137,C,DET,14,1,11,74.8,1,8,559,100.0,100.0,99.2,2,9,0,609,609,62.7,1,5,239,100.0,100.0,98.7,6,0,257,257,98.52,97.67
Ted Karras,10855,C,MIA,16,1,17,71.2,1,8,625,100.0,100.0,99.0,2,11,2,667,667,69.3,1,5,254,100.0,100.0,98.4,7,1,269,269,98.35,97.4
Andrew Whitworth,3000,T,LA,9,0,26,90.5,0,6,325,100.0,100.0,99.1,1,6,0,340,340,81.7,0,4,104,100.0,100.0,98.1,4,0,111,111,98.24,96.4
Ben Jones,7099,C,TEN,16,0,31,71.1,2,8,526,100.0,100.0,99.0,0,10,0,555,555,57.5,1,5,177,100.0,100.0,98.3,6,0,192,192,98.2,96.88
