player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Rodney Hudson,6207,C,ARZ,12,0,1,77.9,0,3,456,100.0,100.0,99.5,0,4,1,484,484,78.2,0,1,150,100.0,100.0,99.7,1,0,163,163,99.17,99.39
Creed Humphrey,59996,C,KC,17,1,16,81.2,1,8,752,100.0,100.0,99.3,3,10,1,805,805,75.0,0,5,324,100.0,100.0,98.9,6,1,358,358,98.76,98.32
Corey Linsley,8796,C,LAC,16,1,27,85.8,2,8,673,100.0,100.0,99.3,4,10,0,724,724,78.6,1,6,313,100.0,100.0,98.9,7,0,337,337,98.62,97.92
Erik McCoy,37347,C,NO,12,0,20,70.6,2,5,408,100.0,100.0,99.1,3,7,0,433,433,58.5,2,4,212,100.0,100.0,98.6,6,0,228,228,98.38,97.37
J.C. Tretter,7904,C,CLV,16,0,8,83.7,1,8,555,100.0,100.0,99.0,1,10,1,587,587,79.6,1,5,204,100.0,100.0,98.0,7,1,220,220,98.3,96.82
Tristan Wirfs,64818,T,TB,17,1,30,84.2,2,10,762,100.0,100.0,99.0,2,14,2,796,796,81.0,1,7,332,100.0,100.0,98.5,9,1,347,347,98.24,97.41
Evan Brown,38709,C,DET,13,0,11,72.4,3,4,422,100.0,100.0,98.9,1,8,1,455,455,71.5,2,1,209,100.0,100.0,98.8,4,1,224,224,98.24,98.21
Joe Thuney,10712,G,KC,17,2,16,88.8,2,13,752,100.0,100.0,98.9,5,16,1,805,805,82.4,1,11,324,100.0,100.0,97.8,13,1,358,358,98.01,96.37
Alex Mack,4944,C,SF,17,0,28,78.3,1,9,561,100.0,100.0,98.8,1,12,2,597,597,78.1,0,4,224,100.0,100.0,98.2,6,2,239,239,97.99,97.49
Dennis Kelly,7146,T,GB,5,0,12,75.2,0,3,179,100.0,100.0,98.6,0,4,1,185,185,75.9,0,2,44,100.0,100.0,97.7,2,0,48,48,97.84,95.83
Kevin Zeitler,7032,G,BLT,17,0,3,79.7,0,16,724,100.0,100.0,98.8,3,17,1,771,771,64.6,0,14,290,100.0,100.0,97.2,15,1,310,310,97.8,95.16
Connor Williams,46216,G,DAL,15,2,9,76.7,1,11,526,100.0,100.0,98.7,9,13,1,569,569,65.0,1,10,222,100.0,100.0,97.1,12,1,243,243,97.72,95.06
Andre James,47058,C,LV,17,0,23,68.8,3,12,686,100.0,100.0,98.6,0,17,2,730,730,71.9,2,9,367,100.0,100.0,98.2,12,1,401,401,97.67,97.01
Tyron Smith,6161,T,DAL,11,0,9,88.0,4,5,416,100.0,100.0,98.4,7,11,2,460,460,80.0,4,3,165,100.0,100.0,96.7,9,2,187,187,97.61,95.19
Ted Karras,10855,G,NE,14,0,19,76.9,2,6,399,99.8,99.8,98.2,1,11,3,425,426,83.6,0,2,169,100.0,100.0,98.8,3,1,183,183,97.41,98.36
Oday Aboushi,7923,G,LAC,5,0,27,70.6,1,4,179,100.0,100.0,98.6,2,5,0,193,193,59.5,1,4,66,100.0,100.0,96.2,5,0,71,71,97.41,92.96
Justin Britt,8699,C,HST,11,1,13,53.7,3,5,382,100.0,100.0,98.2,3,11,3,419,419,51.3,2,3,153,100.0,100.0,96.4,8,3,168,168,97.37,95.24
Lane Johnson,7786,T,PHI,13,1,24,81.2,1,10,397,99.7,99.8,98.6,4,11,0,416,417,73.0,1,8,185,100.0,100.0,97.6,9,0,191,191,97.36,95.29
Ryan Jensen,7985,C,TB,17,2,30,66.2,5,14,754,100.0,100.0,98.5,4,21,2,786,786,53.3,3,12,328,100.0,100.0,97.1,17,2,343,343,97.33,95.04
Andrew Whitworth,3000,T,LA,15,2,26,90.7,2,9,568,100.0,100.0,98.2,4,16,5,597,597,89.5,1,7,259,100.0,100.0,97.7,10,2,278,278,97.32,96.4
Joel Bitonio,8670,G,CLV,17,0,8,85.9,2,13,597,100.0,100.0,98.4,0,17,2,631,631,85.3,0,10,220,100.0,100.0,97.3,11,1,236,236,97.31,95.34
Tyler Biadasz,41178,C,DAL,17,0,9,69.4,4,17,704,100.0,100.0,98.5,1,21,0,764,764,57.1,3,13,297,100.0,100.0,97.3,16,0,329,329,97.25,95.14
