player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Ramon Foster,5229,G,PIT,16,0,25,84.5,2,23,726,100.0,100.0,98.1,1,26,1,777,777,76.6,2,17,318,100.0,100.0,96.7,20,1,343,343,96.65,94.17
Alejandro Villanueva,9091,T,PIT,16,1,25,83.9,3,17,725,99.9,99.9,97.9,4,25,5,776,777,73.6,2,14,318,100.0,100.0,96.2,20,4,343,343,96.78,94.17
Corey Linsley,8796,C,GB,16,1,12,85.0,2,12,728,100.0,100.0,98.5,1,18,4,774,774,78.9,1,9,343,100.0,100.0,98.0,12,2,375,375,97.67,96.8
Ali Marpet,9494,G,TB,16,0,30,79.9,11,17,725,100.0,100.0,97.7,0,31,3,773,773,77.6,8,14,397,100.0,100.0,96.7,24,2,426,426,95.99,94.37
Donovan Smith,9467,T,TB,16,1,30,69.9,9,32,725,100.0,100.0,96.1,3,49,8,773,773,65.3,6,26,397,100.0,100.0,94.2,39,7,426,426,93.66,90.85
Ryan Jensen,7985,C,TB,16,0,30,70.1,10,14,725,100.0,100.0,98.2,5,25,1,773,773,64.7,6,10,397,100.0,100.0,97.7,17,1,426,426,96.77,96.01
Maurkice Pouncey,5543,C,PIT,16,0,25,78.1,3,13,721,100.0,100.0,98.6,2,18,2,772,772,77.7,2,9,317,100.0,100.0,97.6,13,2,342,342,97.67,96.2
David Bakhtiari,7891,T,GB,16,1,12,93.6,3,18,691,100.0,100.0,97.9,1,25,4,737,737,90.9,2,14,319,100.0,100.0,96.6,19,3,351,351,96.61,94.59
Quenton Nelson,12954,G,IND,16,0,14,81.9,4,17,682,100.0,100.0,98.2,4,23,2,730,730,73.5,2,11,303,100.0,100.0,97.2,15,2,325,325,96.85,95.38
Jake Matthews,8641,T,ATL,16,0,2,86.1,7,18,676,100.0,100.0,97.9,1,27,2,715,715,78.7,4,10,253,100.0,100.0,96.8,15,1,273,273,96.22,94.51
Alex Mack,4944,C,ATL,16,0,2,79.6,4,7,676,100.0,100.0,98.7,0,14,3,715,715,71.3,4,4,253,100.0,100.0,97.6,10,2,273,273,98.04,96.34
Mike Remmers,7431,G,MIN,16,1,18,61.1,5,30,666,100.0,100.0,96.3,5,42,7,705,705,55.1,5,22,300,100.0,100.0,93.5,33,6,320,320,94.04,89.69
Demar Dotson,5410,T,TB,15,3,30,79.5,2,21,660,100.0,100.0,98.0,6,25,2,703,703,78.8,2,16,371,100.0,100.0,97.0,20,2,398,398,96.44,94.97
Joel Bitonio,8670,G,CLV,16,0,8,88.4,0,12,638,100.0,100.0,98.9,1,13,1,694,694,77.7,0,9,268,100.0,100.0,97.9,10,1,289,289,98.13,96.54
J.C. Tretter,7904,C,CLV,16,1,8,85.7,1,11,638,100.0,100.0,98.7,1,14,2,694,694,77.4,1,8,268,100.0,100.0,97.9,10,1,289,289,97.98,96.54
