player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Jake Matthews,8641,T,ATL,16,0,2,84.9,3,17,753,100.0,100.0,97.6,5,28,8,808,808,78.8,2,13,363,100.0,100.0,96.3,21,6,392,392,96.53,94.64
Alex Mack,4944,C,ATL,16,0,2,76.3,8,19,748,100.0,100.0,97.9,2,29,2,803,803,60.4,8,15,361,100.0,100.0,96.3,25,2,390,390,96.39,93.59
Kaleb McGary,46912,T,ATL,16,0,2,52.8,13,23,711,99.9,99.9,95.6,0,49,13,764,765,44.4,8,18,349,100.0,100.0,92.6,39,13,377,377,93.59,89.66
Ryan Jensen,7985,C,TB,16,0,30,85.0,3,11,707,100.0,100.0,98.9,0,15,1,751,751,82.0,2,6,349,100.0,100.0,98.6,9,1,373,373,98.0,97.59
Ali Marpet,9494,G,TB,16,1,30,80.6,8,13,707,100.0,100.0,98.2,3,23,2,751,751,73.1,6,11,349,100.0,100.0,97.0,19,2,373,373,96.94,94.91
Taylor Moton,11819,T,CAR,16,2,5,79.0,3,21,707,100.0,100.0,97.6,3,29,5,736,736,74.5,3,15,300,100.0,100.0,95.3,23,5,309,309,96.06,92.56
Andrew Norwell,9126,G,JAX,16,2,15,74.2,5,20,684,100.0,100.0,97.7,4,28,3,736,736,70.1,5,15,346,100.0,100.0,96.5,22,2,377,377,96.2,94.16
Brandon Linder,8728,C,JAX,16,2,15,80.9,0,12,683,100.0,100.0,99.1,5,12,0,735,735,78.5,0,9,345,100.0,100.0,98.7,9,0,376,376,98.37,97.61
Jawaan Taylor,41665,T,JAX,16,1,15,69.0,4,28,683,100.0,100.0,96.3,9,41,9,735,735,60.9,2,27,345,100.0,100.0,93.8,36,7,376,376,94.42,90.43
Matt Paradis,8841,C,CAR,16,1,5,43.8,4,40,703,100.0,100.0,96.4,3,47,3,731,731,26.5,3,26,295,100.0,100.0,94.1,32,3,304,304,93.57,89.47
Will Hernandez,46180,G,NYG,16,0,21,72.5,6,23,681,100.0,100.0,97.6,2,31,2,728,728,75.6,4,13,342,100.0,100.0,97.2,18,1,368,368,95.74,95.11
Jason Kelce,6343,C,PHI,16,0,24,70.6,4,28,678,100.0,100.0,97.3,1,34,2,723,723,67.5,1,16,252,100.0,100.0,96.2,18,1,269,269,95.3,93.31
Isaac Seumalo,10713,G,PHI,16,0,24,69.0,5,31,678,100.0,100.0,96.6,0,41,5,723,723,63.2,2,20,251,100.0,100.0,94.4,25,3,268,268,94.33,90.67
Trey Hopkins,9276,C,CIN,16,0,7,71.5,3,20,673,100.0,100.0,97.7,0,27,4,720,720,62.6,3,14,308,100.0,100.0,96.6,19,2,329,329,96.25,94.22
Bobby Hart,9659,T,CIN,16,1,7,68.7,3,29,669,100.0,100.0,96.7,3,38,6,715,715,65.8,1,22,305,100.0,100.0,94.9,27,4,326,326,94.69,91.72
Andrew Whitworth,3000,T,LA,16,1,26,84.7,3,25,662,100.0,100.0,97.7,11,29,1,710,710,76.6,1,21,281,100.0,100.0,95.7,23,1,306,306,95.92,92.48
Michael Deiter,38554,G,MIA,16,1,17,37.8,15,23,660,99.8,99.9,96.2,3,44,6,708,709,43.9,5,16,319,99.7,99.7,95.1,26,5,341,342,93.79,92.38
Donovan Smith,9467,T,TB,15,2,30,76.7,7,22,658,100.0,100.0,96.9,4,35,6,702,702,65.4,3,17,327,100.0,100.0,95.1,26,6,351,351,95.01,92.59
Jesse Davis,9989,T,MIA,15,0,17,59.6,5,33,649,100.0,100.0,96.5,1,42,4,696,696,58.4,4,25,312,100.0,100.0,95.0,30,1,332,332,93.97,90.96
Joe Thuney,10712,G,NE,16,0,19,87.4,4,11,648,100.0,100.0,98.7,0,16,1,693,693,83.6,2,5,252,100.0,100.0,98.6,7,0,274,274,97.69,97.45
Austin Reiter,9655,C,KC,16,2,16,82.0,1,3,623,100.0,100.0,99.4,8,6,2,693,693,76.7,1,2,217,100.0,100.0,98.8,4,1,259,259,99.13,98.46
Mitchell Schwartz,7041,T,KC,16,1,16,81.2,5,15,622,100.0,100.0,98.4,5,20,0,692,692,73.2,5,11,219,100.0,100.0,96.3,16,0,261,261,97.11,93.87
Cody Whitehair,10690,G,CHI,16,1,6,64.1,3,13,650,100.0,100.0,98.3,4,19,3,692,692,56.6,2,10,278,100.0,100.0,97.1,14,2,302,302,97.25,95.36
James Daniels,45576,C,CHI,16,1,6,72.6,4,15,650,100.0,100.0,98.4,2,20,1,692,692,71.1,3,9,278,100.0,100.0,97.8,12,0,302,302,97.11,96.03
Charles Leno Jr.,8880,T,CHI,16,1,6,71.6,8,27,649,100.0,100.0,96.5,6,40,5,691,691,56.5,6,19,278,100.0,100.0,94.1,29,4,302,302,94.21,90.4
Michael Schofield III,8730,G,LAC,16,0,27,76.9,7,18,636,100.0,100.0,97.9,1,26,1,688,688,74.6,4,11,301,100.0,100.0,97.2,16,1,329,329,96.22,95.14
Kevin Zeitler,7032,G,NYG,15,1,21,75.0,3,16,643,100.0,100.0,98.1,2,22,3,686,686,67.4,2,12,330,100.0,100.0,97.0,17,3,354,354,96.79,95.2
Billy Turner,8702,G,GB,16,0,12,57.5,6,33,635,100.0,100.0,96.0,0,45,6,686,686,49.6,2,22,245,100.0,100.0,93.9,27,3,271,271,93.44,90.04
David Bakhtiari,7891,T,GB,16,0,12,89.1,7,26,633,100.0,100.0,97.1,5,35,2,684,684,78.8,4,21,243,100.0,100.0,94.0,27,2,269,269,94.88,89.96
Nate Solder,6169,T,NYG,16,1,21,66.5,9,36,641,100.0,100.0,94.8,4,56,11,684,684,57.2,7,28,319,100.0,100.0,91.7,44,9,343,343,91.81,87.17
Zack Martin,8651,G,DAL,16,0,9,90.8,3,16,639,100.0,100.0,98.5,1,19,0,680,680,84.7,3,14,316,100.0,100.0,97.3,17,0,340,340,97.21,95.0
Travis Frederick,7812,C,DAL,16,0,9,62.7,8,14,639,100.0,100.0,98.1,1,23,1,680,680,55.1,5,11,316,100.0,100.0,97.2,17,1,340,340,96.62,95.0
D.J. Humphries,9457,T,ARZ,16,1,1,76.3,1,27,632,100.0,100.0,97.5,5,30,2,677,677,73.1,1,12,211,100.0,100.0,96.0,15,2,230,230,95.57,93.48
Demar Dotson,5410,T,TB,15,0,30,72.2,3,27,638,100.0,100.0,96.9,4,35,5,676,676,71.1,1,17,312,100.0,100.0,95.8,22,4,332,332,94.82,93.37
A.Q. Shipley,5150,C,ARZ,16,0,1,71.0,0,13,630,100.0,100.0,98.7,1,15,2,675,675,72.7,0,6,209,100.0,100.0,98.1,7,1,228,228,97.78,96.93
Dan Feeney,11826,G,LAC,16,1,27,57.0,8,30,619,100.0,100.0,96.1,1,43,5,669,669,46.5,5,19,294,100.0,100.0,94.9,27,3,321,321,93.57,91.59
