player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Alex Mack,4944,C,CLV,5,0,8,81.6,0,1,149,100.0,100.0,99.7,0,1,0,161,161,84.1,0,1,54,100.0,100.0,99.1,1,0,58,58,99.38,98.28
Will Montgomery,3179,C,DEN,9,0,10,87.5,0,3,307,100.0,100.0,99.2,1,4,1,331,331,83.5,0,1,94,100.0,100.0,98.4,2,1,103,103,98.79,98.06
Joe Hawley,5641,C,ATL,4,0,2,84.5,1,1,154,100.0,100.0,99.4,0,2,0,162,162,85.3,1,0,73,100.0,100.0,99.3,1,0,77,77,98.77,98.7
Nick Mangold,2974,C,NYJ,15,1,22,86.4,2,4,536,100.0,100.0,99.3,2,7,1,563,563,91.0,1,0,268,100.0,100.0,99.8,1,0,283,283,98.76,99.65
Andrew Whitworth,3000,T,CIN,16,0,7,93.5,1,8,532,100.0,100.0,99.2,1,9,0,571,571,89.7,0,5,190,100.0,100.0,98.7,5,0,208,208,98.42,97.6
Josh Sitton,4449,G,GB,16,0,12,94.3,4,6,582,100.0,100.0,99.1,1,10,0,618,618,90.9,3,5,241,100.0,100.0,98.3,8,0,259,259,98.38,96.91
Rodney Hudson,6207,C,KC,16,0,16,86.9,2,6,579,99.8,99.8,99.0,0,10,2,612,613,74.4,1,3,194,100.0,100.0,97.9,6,2,211,211,98.37,97.16
Orlando Franklin,6198,G,DEN,16,0,10,81.6,2,8,606,100.0,100.0,99.0,2,11,1,652,652,66.6,2,6,190,100.0,100.0,97.4,9,1,209,209,98.31,95.69
Kelechi Osemele,7062,G,BLT,14,1,3,82.4,2,6,517,100.0,100.0,98.8,5,10,2,558,558,79.5,1,5,219,100.0,100.0,98.2,7,1,235,235,98.21,97.02
Zack Martin,8651,G,DAL,16,0,9,92.0,2,8,516,100.0,100.0,99.0,1,10,0,548,548,85.6,2,5,258,100.0,100.0,98.6,7,0,277,277,98.18,97.47
Kevin Zeitler,7032,G,CIN,12,0,7,83.4,2,6,389,100.0,100.0,98.7,1,9,1,415,415,64.3,2,5,143,100.0,100.0,96.9,8,1,157,157,97.83,94.9
