player,player_id,position,team_name,year,snap_counts_pass_block,pressures_allowed,all_pass_pbwr,pressure_rate,is_weak_link,team_pbwr_range,player_epa,replacement_epa,epa_above_replacement,pass_blocking_war
Penei Sewell,81788,T,DET,2023,674,20,97.03,0.02967359050445104,False,7.090000000000003,0.38968526240973267,0.35927078555943687,0.030414476850295802,0.0022529242111330224
Tristan Wirfs,64818,T,TB,2023,684,24,96.49,0.03508771929824561,False,3.489999999999995,0.350189299883928,0.3246495276080107,0.025539772275917305,0.0018918349834012819
Austin Jackson,60816,T,MIA,2023,592,21,96.45,0.03547297297297297,False,4.079999999999998,0.3248332832991656,0.30123575842305894,0.023597524876106668,0.001747964805637531
Chris Lindstrom,46692,G,ATL,2023,606,15,97.52,0.024752475247524754,False,3.1099999999999994,0.37978084285411506,0.35637307489733594,0.023407767956779124,0.0017339087375391944
Jake Matthews,8641,T,ATL,2023,596,27,95.47,0.04530201342281879,False,3.1099999999999994,0.36551895783115507,0.3425739812259057,0.022944976605249356,0.0016996278966851376
Anton Harrison,122929,T,JAX,2023,701,27,96.15,0.03851640513552068,False,3.8100000000000023,0.32670709056820674,0.30394257324438173,0.022764517323825006,0.001686260542505556
Rashawn Slater,59971,T,LAC,2023,762,38,95.01,0.049868766404199474,False,1.6700000000000017,0.38986866500747297,0.36722383746341775,0.022644827544055224,0.0016773946328929796
Zach Tom,55443,T,GB,2023,656,33,94.97,0.05030487804878049,False,2.7099999999999937,0.38469968442995567,0.36250568939023436,0.022193995039721304,0.0016439996325719483
Brandon Scherff,9438,G,JAX,2023,710,15,97.89,0.02112676056338028,False,3.8100000000000023,0.33701377506419106,0.3149765716345482,0.022037203429642882,0.001632385439232806
Laremy Tunsil,10647,T,HST,2023,556,20,96.4,0.03597122302158273,False,8.650000000000006,0.30225462773431483,0.28041314666828204,0.021841481066032786,0.001617887486372799
Kaleb McGary,46912,T,ATL,2023,478,17,96.44,0.03556485355648536,False,3.1099999999999994,0.2961371819521762,0.27461146401383063,0.021525717938345568,0.0015944976250626347
Taylor Moton,11819,T,CAR,2023,730,41,94.38,0.056164383561643834,False,8.870000000000005,0.4103696558444646,0.38917886604912894,0.021190789795335674,0.0015696881329878276
Garett Bolles,11775,T,DEN,2023,649,32,95.07,0.04930662557781202,False,6.450000000000003,0.35640878278040394,0.3354589059242335,0.020949876856170446,0.0015518427300866998
Quenton Nelson,12954,G,IND,2023,686,21,96.94,0.030612244897959183,False,9.25,0.3697170233843121,0.349034734226903,0.020682289157409106,0.001532021419067341
Christian Darrisaw,77373,T,MIN,2023,650,31,95.23,0.047692307692307694,False,3.1200000000000045,0.33578972015926195,0.31548732631119275,0.0203023938480692,0.0015038810257829037
Dion Dawkins,11818,T,BUF,2023,689,34,95.07,0.04934687953555878,False,2.450000000000003,0.343648055786994,0.32343474280097595,0.02021331298601803,0.0014972824434087428
