player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Tristan Wirfs,64818,T,TB,13,0,30,90.5,1,2,584,100.0,100.0,99.4,2,5,2,626,626,90.0,0,1,250,100.0,100.0,99.4,2,1,270,270,99.2,99.26
Corey Linsley,8796,C,LAC,14,2,27,90.2,0,5,536,100.0,100.0,99.5,3,5,0,552,552,83.4,0,4,245,100.0,100.0,99.2,4,0,251,251,99.09,98.41
Rodney Hudson,6207,C,ARZ,4,0,1,66.9,0,3,186,100.0,100.0,99.2,0,3,0,202,202,74.1,0,3,62,100.0,100.0,97.6,3,0,70,70,98.51,95.71
Lane Johnson,7786,T,PHI,15,3,24,89.8,0,9,519,100.0,100.0,99.1,4,9,0,551,551,89.5,0,6,232,100.0,100.0,98.7,6,0,245,245,98.37,97.55
Jason Kelce,6343,C,PHI,17,1,24,82.0,0,11,618,100.0,100.0,99.1,5,11,0,653,653,73.4,0,8,277,100.0,100.0,98.6,8,0,290,290,98.32,97.24
Chris Lindstrom,46692,G,ATL,17,0,2,81.7,1,6,486,100.0,100.0,98.9,0,9,2,517,517,78.7,0,4,142,100.0,100.0,98.6,4,0,152,152,98.26,97.37
Ben Powers,41482,G,BLT,17,1,3,86.5,1,11,562,100.0,100.0,98.9,1,12,0,597,597,76.3,0,6,219,100.0,100.0,98.6,6,0,234,234,97.99,97.44
Josh Myers,59992,C,GB,17,1,12,74.3,2,8,604,100.0,100.0,98.7,2,13,3,643,643,60.0,2,7,221,100.0,100.0,97.1,11,2,238,238,97.98,95.38
Jake Brendel,11117,C,SF,17,2,28,71.9,2,9,557,100.0,100.0,98.8,5,12,1,591,591,59.6,2,4,251,100.0,100.0,98.4,7,1,265,265,97.97,97.36
Frank Ragnow,39137,C,DET,16,0,11,68.9,0,12,588,100.0,100.0,98.8,0,13,1,627,627,56.1,0,8,276,100.0,100.0,98.2,9,1,300,300,97.93,97.0
