player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Rodney Hudson,6207,C,OAK,16,0,23,90.8,1,4,609,100.0,100.0,99.6,0,5,0,651,651,86.4,1,3,270,100.0,100.0,99.3,4,0,284,284,99.23,98.59
Mitch Morse,9482,C,KC,11,0,16,81.2,1,3,413,100.0,100.0,99.5,1,4,0,443,443,82.1,1,2,159,100.0,100.0,99.1,3,0,178,178,99.1,98.31
Eric Kush,7952,G,CHI,7,0,6,79.6,0,3,199,100.0,100.0,99.2,1,3,0,218,218,82.2,0,1,87,100.0,100.0,99.4,1,0,93,93,98.62,98.92
Matt Paradis,8841,C,DEN,9,0,10,78.6,1,3,330,100.0,100.0,99.1,1,5,1,356,356,62.6,1,3,135,100.0,100.0,98.5,4,0,147,147,98.6,97.28
Jason Kelce,6343,C,PHI,16,0,24,87.7,2,8,617,100.0,100.0,99.2,0,10,0,657,657,83.4,1,5,228,100.0,100.0,98.7,6,0,245,245,98.48,97.55
Kevin Zeitler,7032,G,CLV,16,1,8,91.7,1,7,638,100.0,100.0,98.9,3,11,3,694,694,81.4,1,7,268,100.0,100.0,97.8,10,2,289,289,98.41,96.54
Austin Reiter,9655,C,KC,5,0,16,81.0,1,1,163,100.0,100.0,98.8,0,3,1,178,178,73.1,1,0,59,100.0,100.0,97.5,2,1,66,66,98.31,96.97
Cody Whitehair,10690,C,CHI,16,1,6,77.2,0,11,585,100.0,100.0,99.1,3,11,0,635,635,65.7,0,8,273,100.0,100.0,98.5,8,0,293,293,98.27,97.27
Ryan Kelly,10652,C,IND,12,1,14,74.3,2,6,460,100.0,100.0,98.9,2,9,1,494,494,72.5,1,4,205,100.0,100.0,98.3,6,1,221,221,98.18,97.29
Ty Sambrailo,9492,T,ATL,6,0,2,76.2,0,3,158,99.4,99.4,99.1,1,3,0,163,164,77.9,0,1,51,100.0,100.0,99.0,1,0,53,53,98.16,98.11
Joel Bitonio,8670,G,CLV,16,0,8,88.4,0,12,638,100.0,100.0,98.9,1,13,1,694,694,77.7,0,9,268,100.0,100.0,97.9,10,1,289,289,98.13,96.54
Brandon Brooks,7078,G,PHI,16,0,24,85.4,2,10,650,100.0,100.0,98.9,2,13,1,692,692,74.3,1,9,241,100.0,100.0,97.5,11,1,260,260,98.12,95.77
Brandon Linder,8728,C,JAX,9,0,15,83.9,3,3,357,100.0,100.0,98.9,0,7,1,364,364,76.8,2,3,185,100.0,100.0,98.1,6,1,188,188,98.08,96.81
Alex Mack,4944,C,ATL,16,0,2,79.6,4,7,676,100.0,100.0,98.7,0,14,3,715,715,71.3,4,4,253,100.0,100.0,97.6,10,2,273,273,98.04,96.34
J.C. Tretter,7904,C,CLV,16,1,8,85.7,1,11,638,100.0,100.0,98.7,1,14,2,694,694,77.4,1,8,268,100.0,100.0,97.9,10,1,289,289,97.98,96.54
Evan Boehm,10762,C,IND,7,0,14,78.7,2,3,219,100.0,100.0,98.9,1,5,0,233,233,70.8,1,3,98,100.0,100.0,98.0,4,0,104,104,97.85,96.15
T.J. Lang,5032,G,DET,6,0,11,86.5,0,3,174,100.0,100.0,98.6,0,4,1,185,185,76.1,0,3,75,100.0,100.0,96.7,4,1,82,82,97.84,95.12
Dennis Kelly,7146,T,TEN,9,0,31,77.4,0,3,174,100.0,100.0,98.6,0,4,1,185,185,73.0,0,3,68,100.0,100.0,96.3,4,1,74,74,97.84,94.59
Marshal Yanda,3702,G,BLT,16,0,3,84.2,3,11,601,100.0,100.0,98.8,0,14,0,646,646,73.6,2,8,251,100.0,100.0,98.0,10,0,273,273,97.83,96.34
Corey Linsley,8796,C,GB,16,1,12,85.0,2,12,728,100.0,100.0,98.5,1,18,4,774,774,78.9,1,9,343,100.0,100.0,98.0,12,2,375,375,97.67,96.8
Maurkice Pouncey,5543,C,PIT,16,0,25,78.1,3,13,721,100.0,100.0,98.6,2,18,2,772,772,77.7,2,9,317,100.0,100.0,97.6,13,2,342,342,97.67,96.2
Max Unger,4972,C,NO,16,0,20,73.6,1,9,530,100.0,100.0,98.3,0,14,4,560,560,73.2,1,6,221,100.0,100.0,97.5,9,2,236,236,97.5,96.19
Vladimir Ducasse,5586,G,BUF,9,1,4,78.9,1,8,335,100.0,100.0,98.7,1,9,0,358,358,76.9,1,4,166,100.0,100.0,98.5,5,0,176,176,97.49,97.16
Nick Martin,10684,C,HST,16,1,13,78.7,3,12,623,100.0,100.0,98.5,1,17,2,674,674,75.4,3,8,280,100.0,100.0,97.3,13,2,300,300,97.48,95.67
Matt Slauson,5117,G,IND,5,0,14,79.0,3,4,261,100.0,100.0,98.7,0,7,0,277,277,75.3,3,3,122,100.0,100.0,97.5,6,0,132,132,97.47,95.45
David Andrews,9948,C,NE,16,0,19,79.9,3,11,597,100.0,100.0,98.5,0,16,2,628,628,81.1,2,3,184,100.0,100.0,98.6,5,0,196,196,97.45,97.45
Russell Bodine,8746,C,BUF,9,0,4,74.6,1,8,315,100.0,100.0,98.6,2,9,0,340,340,71.5,0,4,142,100.0,100.0,98.6,4,0,152,152,97.35,97.37
