player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Rodney Hudson,6207,C,OAK,15,0,23,91.2,1,2,507,100.0,100.0,99.7,0,3,0,527,527,86.4,0,1,240,100.0,100.0,99.8,1,0,249,249,99.43,99.6
Austin Reiter,9655,C,KC,16,2,16,82.0,1,3,623,100.0,100.0,99.4,8,6,2,693,693,76.7,1,2,217,100.0,100.0,98.8,4,1,259,259,99.13,98.46
Ronnie Stanley,10640,T,BLT,14,1,3,93.3,1,5,445,100.0,100.0,99.3,2,6,0,470,470,89.8,1,2,181,100.0,100.0,99.2,3,0,189,189,98.72,98.41
Xavier Su'a-Filo,8668,G,DAL,5,0,9,77.7,0,2,192,100.0,100.0,99.0,0,3,1,197,197,72.3,0,2,111,100.0,100.0,98.2,3,1,114,114,98.48,97.37
Brandon Linder,8728,C,JAX,16,2,15,80.9,0,12,683,100.0,100.0,99.1,5,12,0,735,735,78.5,0,9,345,100.0,100.0,98.7,9,0,376,376,98.37,97.61
B.J. Finney,9875,C,PIT,9,0,25,72.0,0,2,165,100.0,100.0,98.8,0,3,1,174,174,61.2,0,2,96,100.0,100.0,97.9,3,1,102,102,98.28,97.06
Marshal Yanda,3702,G,BLT,15,0,3,84.9,0,8,464,100.0,100.0,98.9,0,9,1,491,491,77.7,0,5,188,100.0,100.0,98.1,6,1,197,197,98.17,96.95
Matt Skura,11102,C,BLT,11,0,3,63.5,1,5,346,100.0,100.0,98.8,2,7,1,368,368,62.0,1,2,144,100.0,100.0,99.0,3,0,151,151,98.1,98.01
Ben Jones,7099,C,TEN,15,0,31,85.2,0,6,487,100.0,100.0,98.6,2,10,4,517,517,81.0,0,3,207,100.0,100.0,97.3,7,4,223,223,98.07,96.86
Ryan Jensen,7985,C,TB,16,0,30,85.0,3,11,707,100.0,100.0,98.9,0,15,1,751,751,82.0,2,6,349,100.0,100.0,98.6,9,1,373,373,98.0,97.59
Nick Martin,10684,C,HST,16,1,13,79.8,2,9,603,100.0,100.0,98.8,3,13,2,642,642,80.2,1,4,232,100.0,100.0,98.1,7,2,254,254,97.98,97.24
Richie Incognito,2298,G,OAK,12,1,23,88.5,0,8,413,100.0,100.0,98.8,2,9,1,432,432,83.2,0,6,206,100.0,100.0,98.1,7,1,215,215,97.92,96.74
Erik McCoy,37347,C,NO,16,0,20,77.9,2,11,608,100.0,100.0,98.8,3,14,1,653,653,76.0,1,8,261,100.0,100.0,97.9,10,1,282,282,97.86,96.45
A.Q. Shipley,5150,C,ARZ,16,0,1,71.0,0,13,630,100.0,100.0,98.7,1,15,2,675,675,72.7,0,6,209,100.0,100.0,98.1,7,1,228,228,97.78,96.93
Ted Karras,10855,C,NE,15,1,19,57.8,1,11,583,100.0,100.0,98.6,2,14,2,619,619,69.2,1,3,221,100.0,100.0,98.6,5,1,236,236,97.74,97.88
Brandon Scherff,9438,G,WAS,11,1,32,72.7,0,8,363,100.0,100.0,98.6,5,9,1,394,394,72.8,0,6,162,100.0,100.0,97.5,7,1,174,174,97.72,95.98
Joe Thuney,10712,G,NE,16,0,19,87.4,4,11,648,100.0,100.0,98.7,0,16,1,693,693,83.6,2,5,252,100.0,100.0,98.6,7,0,274,274,97.69,97.45
Connor McGovern,10778,C,DEN,16,0,10,82.5,3,11,566,100.0,100.0,98.6,0,15,1,609,609,78.6,2,6,256,100.0,100.0,98.0,9,1,275,275,97.54,96.73
Denzelle Good,9688,G,OAK,7,0,23,69.0,2,2,188,100.0,100.0,98.4,0,5,1,194,194,47.6,2,1,74,100.0,100.0,96.6,4,1,77,77,97.42,94.81
J.C. Tretter,7904,C,CLV,16,2,8,85.5,0,16,595,100.0,100.0,98.5,2,17,1,652,652,72.2,0,11,247,100.0,100.0,97.4,12,1,265,265,97.39,95.47
Joel Bitonio,8670,G,CLV,16,0,8,86.0,1,13,595,100.0,100.0,98.3,1,17,3,652,652,79.6,0,10,247,100.0,100.0,97.2,12,2,265,265,97.39,95.47
Taylor Lewan,8646,T,TEN,12,0,31,82.1,3,6,383,100.0,100.0,98.3,4,11,2,411,411,73.6,3,4,173,100.0,100.0,96.8,9,2,186,186,97.32,95.16
Joe Staley,3644,T,SF,7,0,28,77.0,2,3,239,100.0,100.0,98.1,0,7,2,257,257,69.6,1,2,81,100.0,100.0,96.9,4,1,90,90,97.28,95.56
Cody Whitehair,10690,G,CHI,16,1,6,64.1,3,13,650,100.0,100.0,98.3,4,19,3,692,692,56.6,2,10,278,100.0,100.0,97.1,14,2,302,302,97.25,95.36
