player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Tanor Bortolini,129915,C,IND,16,0,14,66.2,5,12,526,100.0,100.0,98.4,1,17,0,566,566,50.8,3,11,224,100.0,100.0,96.9,14,0,242,242,97.0,94.21
Coleman Shelton,39316,C,LA,17,1,26,49.6,3,15,624,100.0,100.0,98.2,2,20,2,663,663,35.0,2,13,256,100.0,100.0,96.7,16,1,274,274,96.98,94.16
Luke Wypler,129764,C,CLV,9,1,8,74.0,2,3,157,98.7,98.8,98.4,1,5,0,165,167,75.9,1,1,83,98.8,98.9,98.8,2,0,86,87,96.97,97.67
Laremy Tunsil,10647,T,WAS,14,2,32,88.9,2,11,444,100.0,100.0,98.1,4,15,2,490,490,84.7,0,9,189,100.0,100.0,97.1,10,1,213,213,96.94,95.31
Garrett Bradbury,46013,C,NE,17,0,19,63.1,4,16,605,100.0,100.0,98.3,0,20,0,642,642,56.9,3,11,302,100.0,100.0,97.7,14,0,325,325,96.88,95.69
Penei Sewell,81788,T,DET,16,0,11,80.3,6,11,573,100.0,100.0,98.2,0,19,2,601,601,77.4,4,6,250,100.0,100.0,97.6,11,1,265,265,96.84,95.85
Chris Paul,77579,G,WAS,16,0,32,77.4,2,13,485,100.0,100.0,98.0,1,17,2,535,535,68.0,2,10,187,100.0,100.0,96.3,13,1,211,211,96.82,93.84
Austin Corbett,46290,G,CAR,12,0,5,62.7,1,10,385,100.0,100.0,98.1,1,13,2,405,405,51.5,1,10,187,100.0,100.0,96.5,12,1,201,201,96.79,94.03
Dylan Cook,91689,T,PIT,5,0,25,80.7,3,2,176,100.0,100.0,98.0,0,6,1,187,187,73.5,2,1,61,100.0,100.0,97.5,3,0,63,63,96.79,95.24
Elgton Jenkins,46298,C,GB,9,0,12,72.5,2,6,293,100.0,100.0,98.0,0,10,2,310,310,66.1,2,3,124,100.0,100.0,97.2,6,1,132,132,96.77,95.45
Isaac Seumalo,10713,G,PIT,14,0,25,78.5,1,11,438,100.0,100.0,97.9,0,15,3,465,465,61.5,1,10,165,100.0,100.0,94.8,14,3,180,180,96.77,92.22
Mike Onwenu,27357,G,NE,17,0,19,78.2,1,18,610,100.0,100.0,98.1,2,21,2,648,648,74.9,1,13,303,100.0,100.0,97.0,16,2,327,327,96.76,95.11
Peter Skoronski,129737,G,TEN,17,1,31,84.5,1,20,651,100.0,100.0,98.1,2,23,2,694,694,76.7,1,18,316,100.0,100.0,96.4,21,2,331,331,96.69,93.66
Cooper Beebe,99434,C,DAL,11,0,9,63.7,3,12,442,100.0,100.0,98.1,0,16,1,484,484,56.4,2,4,194,100.0,100.0,97.9,7,1,218,218,96.69,96.79
Sam Cosmi,60114,G,WAS,9,0,32,73.0,0,9,305,100.0,100.0,97.9,0,11,2,325,325,66.4,0,5,116,100.0,100.0,96.1,7,2,126,126,96.62,94.44
Dalton Risner,47008,G,CIN,14,0,7,71.5,4,11,475,100.0,100.0,98.0,0,17,2,503,503,72.0,3,8,245,100.0,100.0,97.3,12,1,261,261,96.62,95.4
Tytus Howard,25472,T,HST,16,2,13,77.1,1,20,558,100.0,100.0,98.1,2,21,0,609,609,73.5,1,12,248,100.0,100.0,97.4,13,0,272,272,96.55,95.22
Cesar Ruiz,59857,G,NO,14,0,20,73.1,2,14,508,100.0,100.0,97.8,1,19,3,546,546,60.9,1,13,258,100.0,100.0,96.1,17,3,279,279,96.52,93.91
Drew Dalman,52270,C,CHI,17,0,6,69.0,1,22,643,100.0,100.0,98.1,2,24,1,687,687,59.0,1,14,268,100.0,100.0,96.8,16,1,290,290,96.51,94.48
Trey Smith,62960,G,KC,12,0,16,75.1,2,13,427,100.0,100.0,98.0,0,16,1,459,459,64.9,2,9,158,100.0,100.0,95.9,12,1,178,178,96.51,93.26
Quinn Meinerz,112915,G,DEN,17,2,10,70.9,5,18,670,100.0,100.0,98.0,3,25,2,709,709,55.0,5,15,284,100.0,100.0,95.8,22,2,300,300,96.47,92.67
Joe Alt,147481,T,LAC,6,0,27,82.3,2,4,184,100.0,100.0,97.8,0,7,1,194,194,90.7,1,0,76,100.0,100.0,99.3,1,0,83,83,96.39,98.8
Tyler Biadasz,41178,C,WAS,16,0,32,67.1,0,18,521,100.0,100.0,97.7,1,21,3,571,571,68.5,0,8,213,100.0,100.0,97.2,10,2,240,240,96.32,95.83
Graham Glasgow,10729,C,DET,14,0,11,61.3,8,10,495,100.0,100.0,98.0,1,19,1,517,517,42.1,5,6,211,100.0,100.0,96.9,12,1,222,222,96.32,94.59
Ezra Cleveland,41973,G,JAX,16,2,15,71.4,2,18,613,100.0,100.0,97.7,3,24,4,650,650,62.9,2,13,318,100.0,100.0,96.4,19,4,340,340,96.31,94.41
Tate Ratledge,124034,G,DET,17,1,11,58.5,9,13,620,100.0,100.0,97.9,3,24,2,648,648,49.4,6,8,267,100.0,100.0,97.0,15,1,282,282,96.3,94.68
Larry Borom,59879,T,MIA,13,0,17,67.1,3,10,380,100.0,100.0,97.8,3,15,2,404,404,60.5,2,8,126,100.0,100.0,94.4,12,2,132,132,96.29,90.91
Tyler Smith,98385,G,DAL,16,2,9,65.4,0,23,641,100.0,100.0,97.7,5,26,3,700,700,59.2,0,11,284,100.0,100.0,97.0,14,3,320,320,96.29,95.62
Ben Powers,41482,G,DEN,8,0,10,60.7,1,10,274,100.0,100.0,98.0,1,11,0,290,290,38.0,1,9,113,100.0,100.0,95.6,10,0,119,119,96.21,91.6
Trent Brown,9677,T,HST,7,0,13,64.2,3,7,266,100.0,100.0,97.7,1,11,1,288,288,62.6,3,5,119,100.0,100.0,95.8,9,1,126,126,96.18,92.86
Greg Van Roten,7746,G,NYG,17,0,21,70.1,1,22,625,100.0,100.0,97.7,0,26,3,678,678,59.1,1,18,277,100.0,100.0,95.8,21,2,306,306,96.17,93.14
Kevin Dotson,46735,G,LA,15,0,26,67.7,4,13,490,100.0,100.0,97.7,2,20,3,521,521,65.3,3,6,195,100.0,100.0,96.7,11,2,209,209,96.16,94.74
Jawaan Taylor,41665,T,KC,12,3,16,67.3,5,12,479,100.0,100.0,97.6,8,20,3,517,517,58.6,4,9,178,100.0,100.0,94.7,16,3,203,203,96.13,92.12
Zion Johnson,99681,G,LAC,16,1,27,61.1,7,16,632,100.0,100.0,97.7,1,26,3,663,663,56.3,3,11,292,100.0,100.0,96.9,16,2,313,313,96.08,94.89
Taylor Moton,11819,T,CAR,15,0,5,76.5,4,15,521,100.0,100.0,97.6,2,22,3,558,558,72.1,3,11,245,100.0,100.0,95.9,17,3,267,267,96.06,93.63
Mason McCormick,78326,G,PIT,17,0,25,71.6,2,19,596,100.0,100.0,97.6,0,25,4,634,634,68.4,1,11,223,100.0,100.0,96.9,13,1,240,240,96.06,94.58
Troy Fautanu,100521,T,PIT,17,1,25,71.0,4,19,596,100.0,100.0,97.7,1,25,2,634,634,62.8,3,16,223,100.0,100.0,95.3,20,1,240,240,96.06,91.67
Tyler Booker,157001,G,DAL,14,1,9,62.4,6,16,575,100.0,100.0,97.6,4,25,3,631,631,59.8,3,10,252,100.0,100.0,96.6,15,2,285,285,96.04,94.74
Jake Brendel,11117,C,SF,15,1,28,59.0,4,19,544,100.0,100.0,97.9,2,23,0,577,577,59.5,2,10,275,100.0,100.0,97.8,12,0,287,287,96.01,95.82
Lloyd Cushenberry III,41924,C,TEN,15,1,31,65.5,4,15,570,100.0,100.0,97.3,2,25,6,608,608,66.6,2,9,282,100.0,100.0,96.3,16,5,296,296,95.89,94.59
Brock Hoffman,54535,C,DAL,9,0,9,58.4,4,7,267,100.0,100.0,97.6,0,12,1,285,285,58.4,3,3,114,100.0,100.0,96.5,7,1,127,127,95.79,94.49
Isaiah Adams,158192,G,ARZ,14,1,1,65.6,0,21,506,100.0,100.0,97.5,2,23,2,539,539,61.0,0,16,259,100.0,100.0,96.5,17,1,280,280,95.73,93.93
Robert Hainsey,59980,C,JAX,15,0,15,57.1,3,19,538,100.0,100.0,97.4,1,25,3,578,578,36.8,2,15,273,100.0,100.0,95.8,20,3,296,296,95.67,93.24
Patrick Paul,101019,T,MIA,17,2,17,74.4,2,19,548,100.0,100.0,97.4,2,25,4,578,578,59.4,2,13,182,100.0,100.0,93.7,19,4,188,188,95.67,89.89
Grey Zabel,125314,G,SEA,17,0,29,58.6,4,18,517,100.0,100.0,97.5,0,24,2,553,553,54.1,2,11,209,100.0,100.0,95.9,15,2,221,221,95.66,93.21
Josh Myers,59992,C,NYJ,17,1,22,62.9,4,21,608,100.0,100.0,97.5,2,28,3,640,640,53.5,3,16,326,100.0,100.0,96.5,21,2,342,342,95.62,93.86
Ed Ingram,59819,G,HST,14,0,13,55.2,4,16,500,100.0,100.0,97.2,2,24,4,546,546,38.3,3,13,221,100.0,100.0,95.0,19,3,242,242,95.6,92.15
Joel Bitonio,8670,G,CLV,17,0,8,75.7,1,28,642,100.0,100.0,97.4,0,31,2,686,686,71.1,1,21,346,100.0,100.0,96.2,24,2,370,370,95.48,93.51
Dominick Puni,163815,G,SF,17,0,28,63.8,1,28,629,100.0,100.0,97.5,2,30,1,664,664,60.5,1,22,319,100.0,100.0,96.4,23,0,332,332,95.48,93.07
Joe Tippmann,101568,G,NYJ,17,0,22,69.0,5,18,607,100.0,100.0,97.1,2,29,6,639,639,55.0,4,15,326,100.0,100.0,95.2,25,6,342,342,95.46,92.69
David Edwards,35941,G,BUF,16,0,4,73.0,1,23,558,100.0,100.0,97.3,0,27,3,594,594,65.7,1,16,245,100.0,100.0,95.7,19,2,265,265,95.45,92.83
Jordan Meredith,60235,C,LV,11,2,23,48.5,2,14,410,100.0,100.0,97.1,3,20,4,439,439,41.3,1,12,213,100.0,100.0,95.1,17,4,234,234,95.44,92.74
Zach Tom,55443,T,GB,12,1,12,78.5,1,15,334,100.0,100.0,97.6,1,16,0,351,351,76.1,1,9,153,100.0,100.0,96.7,10,0,159,159,95.44,93.71
Austin Jackson,60816,T,MIA,6,1,17,73.3,2,5,169,100.0,100.0,97.3,1,8,1,175,175,64.6,2,4,56,100.0,100.0,94.6,6,0,56,56,95.43,89.29
Bradley Bozeman,27934,C,LAC,16,1,27,48.7,6,22,623,100.0,100.0,97.4,2,30,2,654,654,48.3,5,10,283,100.0,100.0,97.0,16,1,304,304,95.41,94.74
Cole Strange,22976,G,MIA,14,0,17,42.2,3,16,435,100.0,100.0,97.4,1,21,2,457,457,34.1,1,11,138,100.0,100.0,94.2,14,2,142,142,95.4,90.14
Jonah Jackson,37070,G,CHI,17,0,6,63.6,1,27,629,100.0,100.0,97.3,0,31,3,670,670,52.9,1,18,264,100.0,100.0,95.3,22,3,284,284,95.37,92.25
Andrew Wylie,12333,G,WAS,8,1,32,63.5,3,5,164,100.0,100.0,97.0,2,9,1,194,194,43.4,3,2,67,100.0,100.0,94.8,6,1,80,80,95.36,92.5
Morgan Moses,8701,T,NE,17,1,19,69.8,5,23,585,100.0,100.0,97.4,2,29,1,621,621,66.6,3,18,294,100.0,100.0,96.4,21,0,317,317,95.33,93.38
John Simpson,41715,G,NYJ,17,0,22,62.0,5,19,587,100.0,100.0,97.1,5,29,5,618,618,51.0,4,15,313,100.0,100.0,95.7,23,4,329,329,95.31,93.01
Brian O'Neill,46854,T,MIN,14,0,18,76.4,1,18,420,100.0,100.0,97.3,0,21,2,446,446,76.9,1,13,203,100.0,100.0,96.1,15,1,214,214,95.29,92.99
Jon Runyan,36661,G,NYG,16,1,21,60.6,5,24,606,100.0,100.0,97.3,3,31,2,653,653,44.7,3,17,265,100.0,100.0,95.5,22,2,288,288,95.25,92.36
Jackson Powers-Johnson,146550,G,LV,7,1,23,59.6,2,6,196,100.0,100.0,96.9,3,10,2,210,210,45.4,2,4,90,100.0,100.0,94.4,8,2,99,99,95.24,91.92
Jordan Mailata,66916,T,PHI,16,1,24,80.4,4,21,529,99.8,99.8,97.3,2,27,2,563,564,78.1,2,16,263,100.0,100.0,95.8,20,2,281,281,95.2,92.88
Blake Brandel,46282,C,MIN,14,1,18,67.6,6,10,370,100.0,100.0,97.0,3,19,3,395,395,55.7,6,7,183,100.0,100.0,95.4,15,2,197,197,95.19,92.39
Colton McKivitz,29314,T,SF,17,0,28,72.2,8,21,630,100.0,100.0,97.2,2,32,3,665,665,66.0,7,16,319,100.0,100.0,95.8,25,2,332,332,95.19,92.47
Kingsley Suamataia,146558,G,KC,17,1,16,65.7,8,24,676,100.0,100.0,97.2,3,35,3,724,724,53.2,5,17,280,100.0,100.0,95.0,25,3,307,307,95.17,91.86
Tristan Wirfs,64818,T,TB,12,1,30,84.9,4,17,441,99.8,99.8,97.2,2,23,2,474,475,79.9,3,14,208,100.0,100.0,95.9,17,0,227,227,95.15,92.51
Tyler Linderbaum,82291,C,BLT,17,2,3,63.4,1,23,501,100.0,100.0,97.2,2,26,2,536,536,61.2,1,13,219,100.0,100.0,96.3,15,1,235,235,95.15,93.62
Josh Simmons,88924,T,KC,8,2,16,75.5,2,14,337,100.0,100.0,97.0,5,18,2,367,367,68.1,2,7,130,100.0,100.0,95.8,10,1,151,151,95.1,93.38
Wyatt Teller,46131,G,CLV,13,0,8,53.1,1,20,451,100.0,100.0,97.0,2,24,3,488,488,49.4,1,14,240,100.0,100.0,95.6,18,3,260,260,95.08,93.08
Dylan Fairchild,146716,G,CIN,15,0,7,67.5,5,24,595,100.0,100.0,97.2,2,31,2,629,629,55.5,5,20,318,100.0,100.0,95.4,27,2,338,338,95.07,92.01
Brandon Coleman,123068,T,WAS,9,0,32,62.9,1,10,200,99.5,99.5,97.2,1,11,0,221,222,48.8,1,6,87,100.0,100.0,96.0,7,0,98,98,95.02,92.86
Anthony Bradford,99103,G,SEA,17,0,29,40.8,5,20,523,100.0,100.0,97.0,2,28,3,560,560,28.5,5,11,216,100.0,100.0,95.4,18,2,229,229,95.0,92.14
Nick Allegretti,39268,G,WAS,5,0,32,46.6,2,5,141,100.0,100.0,96.8,2,8,1,160,160,35.0,2,4,68,100.0,100.0,94.1,7,1,78,78,95.0,91.03
Amarius Mims,146719,T,CIN,17,1,7,66.6,4,27,654,100.0,100.0,97.0,2,35,4,694,694,64.5,3,25,341,100.0,100.0,95.0,31,3,362,362,94.96,91.44
Juice Scruggs,81800,G,HST,10,0,13,57.7,2,9,202,100.0,100.0,97.3,0,11,0,218,218,48.1,2,6,84,100.0,100.0,95.2,8,0,92,92,94.95,91.3
Dylan Parham,60953,G,LV,15,0,23,62.3,5,17,517,100.0,100.0,96.7,2,28,6,552,552,56.4,5,10,266,100.0,100.0,95.7,19,4,289,289,94.93,93.43
O'Cyrus Torrence,102821,G,BUF,17,0,4,64.0,0,29,593,100.0,100.0,97.0,1,32,3,631,631,45.5,0,26,250,100.0,100.0,93.6,29,3,271,271,94.93,89.3
Michael Jurgens,77345,C,MIN,8,0,18,61.3,2,3,165,100.0,100.0,96.1,0,9,4,177,177,45.6,0,3,80,100.0,100.0,93.1,7,4,87,87,94.92,91.95
Graham Barton,122367,C,TB,17,2,30,53.5,4,27,647,100.0,100.0,96.8,5,36,5,701,701,34.1,4,20,308,100.0,100.0,94.5,29,5,338,338,94.86,91.42
Armand Membou,125008,T,NYJ,17,2,22,73.8,1,24,607,100.0,100.0,96.6,4,33,8,639,639,68.8,0,19,326,100.0,100.0,94.9,26,7,342,342,94.84,92.4
Fred Johnson,46951,T,PHI,13,0,24,64.2,0,16,324,99.7,99.7,96.9,2,18,2,348,349,53.7,0,15,154,100.0,100.0,93.8,17,2,166,166,94.83,89.76
Alex Palczewski,59738,G,DEN,15,1,10,53.5,3,17,382,99.7,99.8,97.1,1,21,1,405,406,52.0,1,13,166,100.0,100.0,95.2,15,1,175,175,94.81,91.43
Ben Bredeson,27305,G,TB,11,0,30,76.0,0,19,356,100.0,100.0,97.1,0,20,1,384,384,70.6,0,15,165,100.0,100.0,94.8,16,1,181,181,94.79,91.16
Roger Rosengarten,131912,T,BLT,17,1,3,73.4,4,21,501,100.0,100.0,96.9,2,28,3,536,536,73.3,2,15,219,100.0,100.0,95.2,19,2,235,235,94.78,91.91
Bernhard Raimann,77948,T,IND,16,2,14,78.9,2,21,549,99.8,99.8,96.4,5,31,8,590,591,74.1,1,16,229,100.0,100.0,93.7,23,6,247,247,94.75,90.69
Dillon Radunz,30551,G,NO,11,1,20,62.7,2,20,408,100.0,100.0,97.1,3,23,1,438,438,64.1,2,14,204,100.0,100.0,95.6,17,1,219,219,94.75,92.24
Dan Feeney,11826,G,TB,10,1,30,60.1,1,16,369,100.0,100.0,96.6,1,21,4,399,399,45.3,1,15,177,100.0,100.0,93.8,19,3,193,193,94.74,90.16
Taliese Fuaga,131732,T,NO,13,2,20,66.2,5,19,494,100.0,100.0,96.8,4,28,4,530,530,63.7,2,12,234,100.0,100.0,95.3,18,4,253,253,94.72,92.89
Luke Goedeke,77548,T,TB,11,1,30,78.9,0,22,384,100.0,100.0,97.1,3,22,0,416,416,73.5,0,19,188,100.0,100.0,94.9,19,0,205,205,94.71,90.73
Ozzy Trapilo,123552,T,CHI,11,0,6,71.5,3,10,265,100.0,99.6,96.8,0,15,2,282,283,48.5,2,9,103,100.0,100.0,92.7,13,2,114,114,94.68,88.6
Charles Cross,98401,T,SEA,14,1,29,76.9,4,18,421,100.0,100.0,96.9,2,24,2,450,450,72.0,1,10,175,100.0,100.0,96.3,12,1,186,186,94.67,93.55
Jarrett Patterson,81775,G,HST,7,0,13,59.3,0,11,191,100.0,100.0,97.1,0,11,0,206,206,69.1,0,3,75,100.0,100.0,98.0,3,0,81,81,94.66,96.3
Michael Jordan,28021,G,TB,11,1,30,71.0,2,21,427,100.0,100.0,96.8,1,25,2,464,464,57.6,2,18,209,100.0,100.0,94.7,21,1,228,228,94.61,90.79
Matthew Bergeron,99658,G,ATL,15,0,2,65.7,7,20,490,100.0,100.0,97.0,1,28,1,519,519,58.6,6,16,265,100.0,100.0,95.5,23,1,278,278,94.61,91.73
Trent Williams,5529,T,SF,16,0,28,79.9,8,20,561,100.0,100.0,96.8,2,32,4,593,593,76.0,3,13,281,100.0,100.0,96.1,19,3,293,293,94.6,93.52
Will Campbell,157106,T,NE,13,1,19,76.1,5,16,449,100.0,100.0,96.5,2,26,5,476,476,71.2,4,11,216,100.0,100.0,94.2,20,5,231,231,94.54,91.34
