player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Jeremy Zuttah,4397,C,BLT,16,0,3,78.6,1,25,703,100.0,100.0,97.7,2,29,3,755,755,69.9,0,18,325,100.0,100.0,96.6,20,2,347,347,96.16,94.24
A.Q. Shipley,5150,C,ARZ,16,1,1,75.6,8,12,691,100.0,100.0,98.3,1,22,2,748,748,70.2,5,6,288,100.0,100.0,97.4,13,2,318,318,97.06,95.91
Jermey Parnell,5426,T,JAX,16,0,15,72.9,6,28,699,100.0,100.0,97.0,4,38,4,746,746,67.4,6,17,320,100.0,100.0,95.2,27,4,352,352,94.91,92.33
A.J. Cann,9500,G,JAX,16,1,15,75.3,5,22,699,100.0,100.0,97.5,4,31,4,746,746,70.9,3,16,320,100.0,100.0,95.8,23,4,352,352,95.84,93.47
Lane Taylor,8365,G,GB,16,1,12,76.4,2,30,696,100.0,100.0,97.6,2,33,1,742,742,68.5,2,23,296,100.0,100.0,95.4,26,1,321,321,95.55,91.9
Jahri Evans,3053,G,NO,16,1,20,78.2,3,21,688,100.0,100.0,98.0,3,26,2,730,730,64.0,3,13,268,100.0,100.0,96.3,18,2,292,292,96.44,93.84
Bryan Bulaga,5548,T,GB,16,0,12,83.6,2,28,679,100.0,100.0,97.2,1,34,4,726,726,79.3,1,19,290,100.0,100.0,95.5,23,3,315,315,95.32,92.7
Anthony Castonzo,6174,T,IND,16,0,14,79.0,8,37,666,100.0,100.0,95.7,3,51,6,719,719,73.8,7,25,350,100.0,100.0,94.0,37,5,376,376,92.91,90.16
David Bakhtiari,7891,T,GB,16,2,12,94.3,0,16,672,100.0,100.0,98.2,3,20,4,718,718,91.3,0,11,290,100.0,100.0,97.1,14,3,315,315,97.21,95.56
Zach Strief,3155,T,NO,16,2,20,77.7,7,22,676,100.0,100.0,97.6,2,31,2,717,717,65.0,5,18,264,100.0,100.0,94.9,25,2,287,287,95.68,91.29
