player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Scott Wells,1965,C,SL,12,0,26,84.4,0,4,416,100.0,100.0,99.3,1,5,1,441,441,81.1,0,3,172,100.0,100.0,99.1,3,0,183,183,98.87,98.36
Josh Sitton,4449,G,GB,16,0,12,93.5,0,7,645,100.0,100.0,99.3,1,8,1,685,685,91.2,0,3,200,100.0,100.0,98.7,4,1,221,221,98.83,98.19
Cody Wallace,4421,C,PIT,6,1,25,83.1,0,0,162,100.0,100.0,98.8,2,2,2,166,166,71.7,0,0,71,100.0,100.0,97.2,2,2,72,72,98.8,97.22
Dominic Raiola,820,C,DET,16,0,11,86.7,4,8,665,100.0,100.0,99.1,1,12,0,694,694,86.1,2,4,294,100.0,100.0,99.0,6,0,305,305,98.27,98.03
Eric Wood,4951,C,BUF,16,2,4,85.1,2,10,604,100.0,100.0,99.0,5,12,0,645,645,79.1,2,7,284,100.0,100.0,98.4,9,0,304,304,98.14,97.04
Jason Kelce,6343,C,PHI,16,0,24,80.8,1,8,585,100.0,100.0,98.7,2,12,3,622,622,81.2,0,4,299,100.0,100.0,99.0,5,1,318,318,98.07,98.43
Roberto Garza,856,C,CHI,16,0,6,86.1,0,12,626,100.0,100.0,98.9,2,13,1,664,664,79.2,0,8,321,100.0,100.0,98.4,9,1,340,340,98.04,97.35
Stefen Wisniewski,6200,C,OAK,14,0,23,82.3,2,9,524,100.0,100.0,99.0,1,11,0,549,549,83.3,0,6,228,100.0,100.0,98.7,6,0,236,236,98.0,97.46
Louis Vasquez,5001,G,DEN,16,0,10,91.3,2,13,695,100.0,100.0,98.9,1,15,0,740,740,88.3,1,4,238,100.0,100.0,98.9,5,0,247,247,97.97,97.98
Brian De La Puente,4679,C,NO,16,0,20,84.4,3,9,698,100.0,100.0,98.7,3,15,3,739,739,78.8,1,4,268,100.0,100.0,98.3,7,2,286,286,97.97,97.55
Max Unger,4972,C,SEA,13,0,29,74.1,0,6,387,100.0,100.0,98.4,1,9,3,418,418,57.4,0,5,148,100.0,100.0,97.0,7,2,165,165,97.85,95.76
Larry Warford,7846,G,DET,16,1,11,86.6,5,10,665,100.0,100.0,98.9,1,15,0,694,694,76.9,3,9,294,100.0,100.0,98.0,12,0,305,305,97.84,96.07
Evan Smith,5390,C,GB,16,0,12,84.6,1,8,600,100.0,100.0,98.4,1,14,5,636,636,73.3,0,7,187,100.0,100.0,96.0,11,4,204,204,97.8,94.61
Rodney Hudson,6207,C,KC,15,1,16,80.6,2,7,597,100.0,100.0,98.4,2,14,5,637,637,74.4,0,4,206,100.0,100.0,97.1,8,4,218,218,97.8,96.33
Manuel Ramirez,3733,C,DEN,16,0,10,81.1,2,14,693,100.0,100.0,98.7,1,17,1,738,738,65.2,1,9,238,100.0,100.0,97.5,11,1,247,247,97.7,95.55
Mike Pouncey,6167,C,MIA,14,0,17,88.0,3,9,574,100.0,100.0,98.6,2,14,2,594,594,82.3,2,6,247,100.0,100.0,97.6,10,2,256,256,97.64,96.09
Frank Gore,2282,HB,SF,16,0,28,93.5,1,3,160,39.8,38.8,98.7,0,4,0,164,423,92.1,1,1,63,36.8,36.0,98.4,2,0,64,178,97.56,96.88
Nick Hardwick,1787,C,SD,16,0,27,83.4,1,14,571,100.0,100.0,98.7,2,15,0,612,612,83.2,1,7,321,100.0,100.0,98.8,8,0,345,345,97.55,97.68
Nick Mangold,2974,C,NYJ,16,0,22,88.2,1,14,558,100.0,100.0,98.7,1,15,0,581,581,85.3,0,10,301,100.0,100.0,98.3,10,0,308,308,97.42,96.75
Samson Satele,3676,C,IND,13,1,14,78.1,8,6,538,100.0,100.0,98.5,2,15,1,570,570,65.6,5,4,259,100.0,100.0,97.9,10,1,280,280,97.37,96.43
Gary Barnidge,4455,TE,CLV,16,0,8,91.0,1,4,175,63.2,63.0,98.6,1,5,0,182,289,89.7,0,0,42,46.7,46.2,100.0,0,0,43,93,97.25,100.0
Brad Meester,627,C,JAX,16,1,15,79.2,1,13,657,99.8,99.9,98.2,2,19,5,688,689,67.3,0,8,251,100.0,100.0,96.8,12,4,270,270,97.24,95.56
Ryan Kalil,3675,C,CAR,16,0,5,81.2,0,15,551,100.0,100.0,98.5,1,16,1,578,578,86.8,0,7,243,100.0,100.0,98.6,7,0,255,255,97.23,97.25
Jahri Evans,3053,G,NO,14,0,20,88.4,4,12,607,100.0,100.0,98.4,4,18,2,647,647,78.0,1,10,231,100.0,100.0,96.8,13,2,249,249,97.22,94.78
