player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Alex Mack,4944,C,CLV,16,0,8,88.4,5,18,750,100.0,100.0,98.2,1,25,2,779,779,88.7,1,12,416,100.0,100.0,98.0,15,2,429,429,96.79,96.5
Mitchell Schwartz,7041,T,CLV,16,1,8,74.0,19,35,750,100.0,100.0,94.9,1,65,11,779,779,68.3,14,26,416,100.0,100.0,92.8,50,10,429,429,91.66,88.34
Joe Thomas,3619,T,CLV,16,1,8,94.0,9,26,750,100.0,100.0,97.4,2,37,2,779,779,90.5,6,22,416,100.0,100.0,96.4,29,1,429,429,95.25,93.24
Justin Blalock,3655,G,ATL,16,0,2,85.8,5,21,709,100.0,100.0,97.5,1,31,5,753,753,75.4,4,17,346,100.0,100.0,95.5,26,5,373,373,95.88,93.03
Ben Grubbs,3645,G,NO,16,0,20,84.6,5,20,699,100.0,100.0,97.8,4,28,3,740,740,76.2,3,12,268,100.0,100.0,96.1,18,3,286,286,96.22,93.71
Louis Vasquez,5001,G,DEN,16,0,10,91.3,2,13,695,100.0,100.0,98.9,1,15,0,740,740,88.3,1,4,238,100.0,100.0,98.9,5,0,247,247,97.97,97.98
Brian De La Puente,4679,C,NO,16,0,20,84.4,3,9,698,100.0,100.0,98.7,3,15,3,739,739,78.8,1,4,268,100.0,100.0,98.3,7,2,286,286,97.97,97.55
Manuel Ramirez,3733,C,DEN,16,0,10,81.1,2,14,693,100.0,100.0,98.7,1,17,1,738,738,65.2,1,9,238,100.0,100.0,97.5,11,1,247,247,97.7,95.55
Zane Beadles,5570,G,DEN,16,1,10,67.7,9,32,693,100.0,100.0,96.9,1,42,1,738,738,62.6,2,19,238,100.0,100.0,95.6,21,0,247,247,94.31,91.5
Lamar Holmes,7091,T,ATL,16,1,2,63.6,13,53,693,100.0,100.0,93.8,2,76,10,735,735,54.2,10,34,340,100.0,100.0,90.9,53,9,366,366,89.66,85.52
Gino Gradkowski,7098,C,BLT,16,0,3,65.0,7,26,683,100.0,100.0,97.1,2,36,3,723,723,69.8,3,14,380,100.0,100.0,97.2,19,2,407,407,95.02,95.33
Marshal Yanda,3702,G,BLT,16,0,3,81.5,3,24,683,100.0,100.0,97.7,2,29,2,723,723,73.5,3,21,380,100.0,100.0,96.3,26,2,407,407,95.99,93.61
Ryan Wendell,4602,C,NE,16,0,19,59.9,7,24,667,100.0,100.0,96.8,1,37,6,714,714,60.4,4,12,263,100.0,100.0,96.2,18,2,289,289,94.82,93.77
Will Montgomery,3179,C,WAS,16,0,32,78.3,3,17,689,100.0,100.0,98.3,3,22,2,713,713,77.5,2,5,276,100.0,100.0,98.4,8,1,284,284,96.91,97.18
Chris Chester,3001,G,WAS,16,0,32,64.7,4,38,689,100.0,100.0,96.5,1,45,3,713,713,51.4,1,28,276,100.0,100.0,93.7,32,3,284,284,93.69,88.73
Tyler Polumbus,4581,T,WAS,16,0,32,76.2,9,28,689,100.0,100.0,96.7,0,41,4,713,713,75.5,5,14,276,100.0,100.0,96.2,20,1,284,284,94.25,92.96
Trent Williams,5529,T,WAS,16,2,32,88.3,6,21,688,100.0,100.0,96.9,4,35,8,712,712,79.1,5,16,276,100.0,100.0,94.0,27,6,284,284,95.08,90.49
Logan Mankins,2249,G,NE,16,2,19,73.7,5,21,665,100.0,100.0,96.5,4,36,10,712,712,56.2,2,15,262,100.0,100.0,94.1,24,7,288,288,94.94,91.67
Chris Myers,2417,C,HST,16,0,13,74.2,5,22,681,100.0,100.0,97.9,0,28,1,710,710,77.4,3,11,349,100.0,100.0,98.0,14,0,366,366,96.06,96.17
Anthony Castonzo,6174,T,IND,16,1,14,75.0,8,39,657,100.0,100.0,95.8,5,51,4,701,701,65.8,5,28,303,100.0,100.0,93.6,36,3,329,329,92.72,89.06
Gosder Cherilus,4331,T,IND,16,0,14,72.9,13,30,656,100.0,100.0,96.1,0,47,4,700,700,70.0,8,17,302,100.0,100.0,94.5,29,4,328,328,93.29,91.16
Kory Lichtensteiger,4422,G,WAS,16,0,32,76.7,5,22,675,100.0,100.0,97.7,1,29,2,698,698,63.3,2,17,266,100.0,100.0,96.1,20,1,273,273,95.85,92.67
Dominic Raiola,820,C,DET,16,0,11,86.7,4,8,665,100.0,100.0,99.1,1,12,0,694,694,86.1,2,4,294,100.0,100.0,99.0,6,0,305,305,98.27,98.03
Larry Warford,7846,G,DET,16,1,11,86.6,5,10,665,100.0,100.0,98.9,1,15,0,694,694,76.9,3,9,294,100.0,100.0,98.0,12,0,305,305,97.84,96.07
Rob Sims,3073,G,DET,16,0,11,78.2,5,23,665,100.0,100.0,97.7,1,29,1,694,694,71.0,3,17,294,100.0,100.0,96.3,21,1,305,305,95.82,93.11
