year,team_name,nflverse_team,n_qualified,n_starter_qualified,total_snaps,total_pressures,team_pressure_rate,team_sack_rate_pff,team_avg_pbwr,team_min_pbwr,team_max_pbwr,team_std_pbwr,team_range_pbwr,team_avg_grade,team_min_grade,team_std_grade,wl_player,wl_position,wl_pbwr,wl_delta,wl_snap_share,wl_pressure_rate,tps_total_snaps,tps_total_pressures,tps_team_pressure_rate,tps_team_sack_rate_pff,tps_avg_pbwr,tps_min_pbwr,tps_max_pbwr,tps_std_pbwr,tps_range_pbwr,tps_avg_grade,tps_min_grade,tps_std_grade,tps_wl_player,tps_wl_position,tps_wl_pbwr,tps_wl_delta,tps_wl_snap_share,tps_wl_pressure_rate,n_dropbacks,total_epa,total_success,total_sacks_nfl,total_qb_hits,avg_cpoe,pass_epa_per_play,pass_success_rate,sack_rate,qb_hit_rate
2013,ARZ,ARI,5,5,3056,215,0.07035340314136125,0.009162303664921465,92.96272905759162,87.81,96.5,3.445511573046881,8.689999999999998,64.70000000000002,47.8,11.65482732604821,Bradley Sowell,T,87.81,5.152729057591614,0.15837696335078533,0.12190082644628099,1411,142,0.10063784549964565,0.012756909992912827,89.93486888731397,80.73,96.42,5.925276364862654,15.689999999999998,54.019999999999996,32.4,15.848564603774058,Bradley Sowell,T,80.73,9.204868887313964,0.15450035435861093,0.1926605504587156,622,-0.60278994,278.0,41.0,98.0,3.8050945,-0.0009691156591639871,0.44694533762057875,0.06591639871382636,0.15755627009646303
2013,ATL,ATL,7,6,3588,240,0.06688963210702341,0.008639910813823858,93.3095707915273,89.66,96.37,2.2927982487615024,6.710000000000008,69.71428571428572,57.2,9.293802338373775,Lamar Holmes,T,89.66,3.64957079152731,0.2048494983277592,0.10340136054421768,1773,164,0.09249858996051889,0.012972363226170333,90.7507839819515,85.52,95.91,3.136106169242666,10.39,63.11428571428571,48.8,9.433173480052297,Lamar Holmes,T,85.52,5.230783981951504,0.20642978003384094,0.1448087431693989,710,28.07993,330.0,44.0,96.0,2.8431172,0.03954919718309859,0.4647887323943662,0.061971830985915494,0.1352112676056338
2013,BLT,BAL,6,5,3515,199,0.05661450924608819,0.005405405405405406,94.3386173541963,91.72,95.99,1.469734669931957,4.269999999999996,74.76666666666667,65.0,7.790934903249205,Michael Oher,T,91.72,2.618617354196303,0.19231863442389757,0.08284023668639054,1940,144,0.07422680412371134,0.006185567010309278,92.57779896907216,88.47,95.33,2.3717820304572683,6.859999999999999,69.95,62.2,8.987268773103427,Michael Oher,T,88.47,4.107798969072164,0.1922680412371134,0.11528150134048257,685,-24.02105,274.0,48.0,85.0,-1.5709786,-0.035067226277372264,0.4,0.07007299270072993,0.12408759124087591
2013,BUF,BUF,6,5,3213,146,0.045440398381574855,0.0034235916588857764,95.45570183629006,88.39,98.14,3.4011213837007737,9.75,69.43333333333334,27.1,21.40408060783426,Erik Pears,T,93.95,1.5057018362900578,0.20074696545284781,0.06046511627906977,1517,107,0.07053394858272907,0.005273566249176005,92.9461502966381,84.48,97.04,4.338952638598398,12.560000000000002,62.900000000000006,25.1,20.00939779203762,Erik Pears,T,90.13,2.8161502966380993,0.2003955174686882,0.09868421052631579,607,-81.56501,246.0,48.0,103.0,-3.7098935,-0.13437398682042834,0.4052718286655684,0.07907742998352553,0.1696869851729819
2013,CAR,CAR,6,6,2763,145,0.05247918928700688,0.00760043431053203,94.75119797321751,90.56,97.23,2.723223579999752,6.670000000000002,75.88333333333334,49.5,14.62633469693165,Nate Chandler,G,90.56,4.191197973217513,0.10351067680057909,0.0944055944055944,1212,98,0.08085808580858085,0.012376237623762377,91.91373762376236,81.9,97.25,6.028266749240615,15.349999999999994,71.71666666666667,31.9,21.748325606047622,Nate Chandler,G,81.9,10.013737623762353,0.09570957095709572,0.1810344827586207,551,64.552734,251.0,43.0,64.0,0.8516173,0.11715559709618875,0.455535390199637,0.0780399274047187,0.1161524500907441
2013,CHI,CHI,5,5,3296,204,0.061893203883495146,0.0036407766990291263,93.80936893203885,87.81,98.04,4.0398366303601945,10.230000000000004,72.17999999999999,46.7,15.538082249750127,Jordan Mills,T,87.81,5.999368932038848,0.1941747572815534,0.121875,1690,145,0.08579881656804733,0.005917159763313609,91.41934911242605,83.03,97.35,5.76507155202778,14.319999999999993,65.42,42.0,15.169937376271532,Jordan Mills,T,83.03,8.389349112426046,0.1952662721893491,0.1696969696969697,630,100.64849,316.0,30.0,85.0,4.830148,0.15975950793650792,0.5015873015873016,0.047619047619047616,0.1349206349206349
2013,CIN,CIN,7,6,3315,129,0.03891402714932127,0.005731523378582202,96.10787028657616,94.66,96.91,0.7689262767311432,2.25,79.02857142857144,73.0,5.443869422177053,Andre Smith,T,94.66,1.447870286576162,0.1975867269984917,0.05343511450381679,1265,88,0.06956521739130435,0.009486166007905139,93.04193675889327,89.96,96.02,2.1056726105587122,6.060000000000002,68.55714285714285,54.0,9.38666734307357,Andre Smith,T,89.96,3.081936758893278,0.19683794466403162,0.10040160642570281,642,57.5415,297.0,29.0,46.0,1.13979,0.0896285046728972,0.46261682242990654,0.045171339563862926,0.07165109034267912
2013,CLV,CLE,7,5,3906,211,0.0540194572452637,0.006656426011264721,94.59880440348182,89.91,97.25,2.689789334997572,7.340000000000003,78.77142857142857,48.6,15.459809645843455,Mitchell Schwartz,T,91.66,2.938804403481825,0.19943676395289298,0.0834403080872914,2096,155,0.07395038167938932,0.01049618320610687,92.6036927480916,85.83,100.0,4.735276931611034,14.170000000000002,73.37142857142858,33.7,20.190485736745273,Mitchell Schwartz,T,88.34,4.2636927480916,0.20467557251908397,0.11655011655011654,750,-60.472874,296.0,49.0,118.0,-3.8274786,-0.08063049866666666,0.39466666666666667,0.06533333333333333,0.15733333333333333
2013,DAL,DAL,6,5,3338,162,0.048532055122828044,0.005991611743559017,95.1468903535051,94.01,96.41,0.9626162267487477,2.3999999999999915,78.0,69.4,8.000499984375978,Doug Free,T,94.01,1.1368903535050947,0.20011983223487118,0.059880239520958084,1759,113,0.06424104604889141,0.008527572484366117,93.57512222853893,91.76,96.02,1.6044531778771205,4.259999999999991,72.48333333333333,56.2,11.624012502860904,Doug Free,T,91.76,1.8151222285389252,0.20011370096645822,0.08238636363636363,632,47.188828,300.0,35.0,53.0,0.278111,0.07466586708860759,0.47468354430379744,0.055379746835443035,0.08386075949367089
2013,DEN,DEN,5,5,3521,130,0.03692132916785004,0.0031241124680488497,96.30817097415509,94.31,97.97,1.6065428721325798,3.6599999999999966,78.25999999999999,67.7,8.77883819192494,Zane Beadles,G,94.31,1.9981709741550873,0.20959954558364102,0.056910569105691054,1176,72,0.061224489795918366,0.007653061224489796,93.87964285714285,90.57,97.98,3.0222226919934303,7.410000000000011,68.02000000000001,56.6,12.035447644354571,Chris Clark,T,90.57,3.3096428571428618,0.18027210884353742,0.09433962264150944,696,249.87448,382.0,20.0,54.0,6.247052,0.3590150574712644,0.5488505747126436,0.028735632183908046,0.07758620689655173
