player,position,team_name,player_game_count,grades_pass_block,hits_allowed,hurries_allowed,pressures_allowed,sacks_allowed,snap_counts_pass_block,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,all_pass_pbwr,true_pass_set_pbwr,year
Laurent Duvernay-Tardif,G,KC,14,77.3,2,15,18,1,548,69.0,2,12,15,1,191,96.72,92.15,2016
John Jerry,G,NYG,16,77.2,5,15,22,2,658,73.3,2,12,16,2,294,96.66,94.56,2016
Lane Johnson,T,PHI,6,79.5,0,7,8,1,236,81.7,0,4,4,0,82,96.61,95.12,2016
Kyle Long,G,CHI,8,81.8,1,9,10,0,287,71.4,1,6,7,0,110,96.52,93.64,2016
Gabe Jackson,G,OAK,16,79.2,5,19,24,0,683,71.4,5,11,16,0,271,96.49,94.1,2016
Joe Hawley,C,TB,15,71.3,5,13,21,3,596,69.4,3,7,12,2,283,96.48,95.76,2016
Jahri Evans,G,NO,16,78.2,3,21,26,2,730,64.0,3,13,18,2,292,96.44,93.84,2016
Jason Peters,T,PHI,16,90.9,8,13,25,4,689,86.9,6,5,14,3,268,96.37,94.78,2016
Stefen Wisniewski,G,PHI,11,73.3,3,10,14,1,383,62.8,2,6,9,1,150,96.34,94.0,2016
Eric Kush,C,CHI,5,69.8,1,5,6,0,164,72.7,0,4,4,0,90,96.34,95.56,2016
Tim Lelito,G,NO,15,78.7,3,4,8,1,216,66.3,1,3,5,1,78,96.3,93.59,2016
Ali Marpet,G,TB,16,78.5,3,21,26,2,701,75.7,2,13,16,1,339,96.29,95.28,2016
Richie Incognito,G,BUF,16,83.1,7,13,23,3,613,81.1,4,8,14,2,306,96.25,95.42,2016
Tyler Larsen,G,CAR,6,69.6,1,7,8,0,212,61.1,1,7,8,0,125,96.23,93.6,2016
Clint Boling,G,CIN,14,78.8,2,17,22,3,581,66.8,2,13,18,3,231,96.21,92.21,2016
Joel Bitonio,G,CLV,5,82.9,3,4,8,1,210,76.0,2,3,6,1,102,96.19,94.12,2016
Jeremy Zuttah,C,BLT,16,78.6,1,25,29,3,755,69.9,0,18,20,2,347,96.16,94.24,2016
James Carpenter,G,NYJ,16,83.7,4,18,24,2,618,75.2,2,13,16,1,232,96.12,93.1,2016
Oday Aboushi,G,HST,4,74.2,1,5,6,0,154,65.7,1,4,5,0,84,96.1,94.05,2016
Larry Warford,G,DET,15,75.3,2,21,26,3,665,59.9,2,19,24,3,305,96.09,92.13,2016
Patrick Omameh,G,JAX,8,79.4,1,12,13,0,332,80.1,0,9,9,0,166,96.08,94.58,2016
Jack Mewhort,G,IND,10,75.7,1,17,18,0,442,86.2,0,9,9,0,231,95.93,96.1,2016
Shaq Mason,G,NE,16,74.5,2,18,24,4,588,62.6,2,9,13,2,219,95.92,94.06,2016
Zach Fulton,G,KC,14,79.7,1,15,20,4,490,65.5,1,12,16,3,174,95.92,90.8,2016
Marcus Gilbert,T,PIT,13,80.9,1,17,21,3,512,74.4,1,11,14,2,240,95.9,94.17,2016
Jason Kelce,C,PHI,16,53.3,5,23,29,1,702,47.6,2,14,17,1,271,95.87,93.73,2016
Donald Penn,T,OAK,16,82.7,3,24,28,1,676,75.4,2,16,19,1,270,95.86,92.96,2016
A.J. Cann,G,JAX,16,75.3,5,22,31,4,746,70.9,3,16,23,4,352,95.84,93.47,2016
Marshall Newhouse,T,NYG,9,67.9,2,6,11,3,263,58.4,1,3,7,3,108,95.82,93.52,2016
Justin Pugh,G,NYG,11,76.0,4,12,18,2,431,58.0,3,11,15,1,193,95.82,92.23,2016
Brian Winters,G,NYJ,13,76.1,3,16,21,2,498,62.3,2,12,16,2,180,95.78,91.11,2016
Michael Schofield III,G,DEN,16,73.1,6,20,28,2,654,65.5,3,13,17,1,319,95.72,94.67,2016
Cordy Glenn,T,BUF,11,86.0,0,16,17,1,397,80.1,0,12,13,1,201,95.72,93.53,2016
Josh Kline,G,TEN,14,75.8,1,18,22,3,513,71.5,1,16,18,1,252,95.71,92.86,2016
Taylor Lewan,T,TEN,15,85.1,0,22,24,2,560,76.7,0,16,18,2,273,95.71,93.41,2016
Zach Strief,T,NO,16,77.7,7,22,31,2,717,65.0,5,18,25,2,287,95.68,91.29,2016
Ted Larsen,G,CHI,11,70.2,1,12,15,2,345,64.1,1,11,14,2,195,95.65,92.82,2016
Tyron Smith,T,DAL,13,88.9,3,15,20,2,459,84.9,2,11,14,1,235,95.64,94.04,2016
Russell Bodine,C,CIN,16,63.9,2,20,28,6,642,52.4,2,13,19,4,250,95.64,92.4,2016
Ramon Foster,G,PIT,14,87.9,3,22,25,0,568,80.0,2,16,18,0,251,95.6,92.83,2016
Nate Solder,T,NE,15,85.5,4,17,26,5,591,74.1,2,10,17,5,218,95.6,92.2,2016
Andrew Norwell,G,CAR,16,77.7,3,23,29,3,656,80.2,1,15,19,3,347,95.58,94.52,2016
Lane Taylor,G,GB,16,76.4,2,30,33,1,742,68.5,2,23,26,1,321,95.55,91.9,2016
Luke Joeckel,G,JAX,4,51.6,1,6,7,0,157,43.3,0,5,5,0,75,95.54,93.33,2016
Nick Easton,C,MIN,9,67.5,3,9,12,0,269,59.3,2,6,8,0,126,95.54,93.65,2016
Matt Slauson,C,SD,16,71.4,8,18,28,2,626,71.6,5,7,14,2,306,95.53,95.42,2016
Jake Matthews,T,ATL,16,80.4,8,14,27,5,599,75.9,2,8,14,4,217,95.49,93.55,2016
Quinton Spain,G,TEN,14,77.6,3,16,21,2,463,67.2,3,12,15,0,218,95.46,93.12,2016
Marcus Cannon,T,NE,15,76.0,6,19,27,2,594,69.3,1,13,15,1,220,95.45,93.18,2016
Rodger Saffold,G,LA,15,75.2,3,21,26,2,570,62.4,2,14,17,1,228,95.44,92.54,2016
Laken Tomlinson,G,DET,11,69.3,2,15,20,3,434,59.6,1,12,15,2,200,95.39,92.5,2016
Max Garcia,G,DEN,16,70.4,5,22,31,4,673,53.8,4,20,28,4,327,95.39,91.44,2016
Mike Iupati,G,ARZ,15,66.2,9,20,32,3,691,50.8,6,15,24,3,294,95.37,91.84,2016
John Greco,G,CLV,12,78.7,5,15,24,4,514,73.7,3,10,16,3,260,95.33,93.85,2016
Bryan Bulaga,T,GB,16,83.6,2,28,34,4,726,79.3,1,19,23,3,315,95.32,92.7,2016
Tim Barnes,C,LA,16,67.4,2,22,30,6,634,50.2,1,18,23,4,258,95.27,91.09,2016
Daniel Kilgore,C,SF,13,60.6,2,18,23,3,482,53.0,1,13,17,3,245,95.23,93.06,2016
Morgan Moses,T,WAS,16,75.3,3,23,31,5,648,75.4,1,15,20,4,315,95.22,93.65,2016
Ryan Schraeder,T,ATL,16,76.8,6,18,30,6,628,69.0,5,12,21,4,229,95.22,90.83,2016
Andrew Donnal,T,LA,12,68.3,1,8,9,0,187,53.7,0,5,5,0,76,95.19,93.42,2016
Joe Thomas,T,CLV,16,91.2,4,26,34,4,699,88.6,2,17,21,2,351,95.14,94.02,2016
Ron Leary,G,DAL,13,76.7,3,18,21,0,428,71.3,3,13,16,0,217,95.09,92.63,2016
Ronnie Stanley,T,BLT,12,82.6,2,22,27,3,549,74.5,1,16,19,2,243,95.08,92.18,2016
Chris Reed,G,JAX,6,56.7,3,7,10,0,203,31.7,2,6,8,0,95,95.07,91.58,2016
Brandon Scherff,G,WAS,16,75.2,7,25,33,1,665,73.7,4,15,19,0,319,95.04,94.04,2016
Ryan Jensen,G,BLT,5,73.6,2,8,10,0,198,69.2,2,5,7,0,102,94.95,93.14,2016
Laremy Tunsil,G,MIA,14,74.5,4,18,23,1,454,67.2,4,9,14,1,182,94.93,92.31,2016
John Urschel,G,BLT,7,73.6,0,6,9,3,177,58.2,0,4,7,3,84,94.92,91.67,2016
Jeff Allen,G,HST,14,73.4,3,19,27,5,530,66.2,2,15,19,2,246,94.91,92.28,2016
Jermey Parnell,T,JAX,16,72.9,6,28,38,4,746,67.4,6,17,27,4,352,94.91,92.33,2016
Mitchell Schwartz,T,KC,16,75.2,1,23,32,8,628,64.9,0,18,23,5,216,94.9,89.35,2016
Eric Winston,T,CIN,11,62.1,0,6,8,2,156,54.5,0,5,7,2,67,94.87,89.55,2016
Jack Conklin,T,TEN,16,80.9,2,27,31,2,603,72.3,2,22,26,2,289,94.86,91.0,2016
Allen Barbre,G,PHI,12,75.6,4,15,22,3,424,64.9,3,11,16,2,178,94.81,91.01,2016
Rick Wagner,T,BLT,14,78.4,4,25,32,3,612,71.4,3,20,25,2,262,94.77,90.46,2016
D.J. Fluker,G,SD,16,68.5,5,22,32,5,612,62.5,3,15,21,3,313,94.77,93.29,2016
Mike Pouncey,C,MIA,5,63.1,2,6,8,0,151,40.4,1,5,6,0,55,94.7,89.09,2016
Eric Fisher,T,KC,16,72.6,4,24,34,6,628,61.6,2,13,18,3,216,94.59,91.67,2016
Demar Dotson,T,TB,13,71.3,7,22,32,3,582,65.9,5,21,29,3,273,94.5,89.38,2016
John Miller,G,BUF,16,66.5,2,27,33,4,600,56.2,1,20,23,2,299,94.5,92.31,2016
Andrew Tiller,G,SF,8,67.9,1,12,15,2,272,56.4,1,10,13,2,116,94.49,88.79,2016
Cody Wichmann,G,LA,11,68.2,4,15,21,2,379,62.5,2,8,12,2,149,94.46,91.95,2016
Andrus Peat,T,NO,15,71.7,8,24,37,5,658,58.6,6,19,27,2,264,94.38,89.77,2016
Senio Kelemete,G,NO,14,61.9,0,22,24,2,426,53.0,0,14,16,2,176,94.37,90.91,2016
Charles Leno Jr.,T,CHI,16,78.0,8,23,36,5,631,68.1,6,17,27,4,304,94.29,91.12,2016
Jared Veldheer,T,ARZ,8,78.0,3,17,21,1,364,79.0,1,10,11,0,170,94.23,93.53,2016
Brent Qvale,T,NYJ,11,65.2,2,10,13,1,223,61.7,2,3,5,0,76,94.17,93.42,2016
Isaac Seumalo,G,PHI,8,66.6,1,9,12,2,203,59.4,0,5,6,1,67,94.09,91.04,2016
Cyrus Kouandjio,T,BUF,9,78.9,0,12,13,1,220,67.3,0,10,11,1,106,94.09,89.62,2016
Vadal Alexander,T,OAK,8,67.3,2,7,10,1,169,61.5,2,5,8,1,66,94.08,87.88,2016
Taylor Decker,T,DET,16,82.1,4,33,42,5,703,77.1,2,23,28,3,319,94.03,91.22,2016
Duane Brown,T,HST,12,81.0,5,22,28,1,464,74.6,5,17,23,1,241,93.97,90.46,2016
Graham Glasgow,C,DET,12,62.0,3,23,29,3,479,45.5,2,17,21,2,207,93.95,89.86,2016
Eric Wood,C,BUF,9,65.2,5,16,21,0,344,59.1,5,9,14,0,181,93.9,92.27,2016
Cameron Erving,C,CLV,13,56.1,5,21,30,4,489,57.9,5,12,19,2,250,93.87,92.4,2016
Xavier Su'a-Filo,G,HST,16,64.2,7,25,39,7,635,52.5,5,19,30,6,306,93.86,90.2,2016
Trai Turner,G,CAR,16,64.5,4,34,40,2,650,53.0,4,28,34,2,345,93.85,90.14,2016
Jermon Bushrod,G,MIA,16,67.8,4,25,34,5,546,53.5,3,18,25,4,215,93.77,88.37,2016
Mark Glowinski,G,SEA,16,56.2,10,28,43,5,689,35.7,7,23,33,3,264,93.76,87.5,2016
Kevin Pamphile,G,TB,14,68.3,7,28,37,2,590,52.8,7,22,31,2,285,93.73,89.12,2016
Trent Brown,T,SF,16,69.7,2,31,39,6,619,62.3,2,25,32,5,302,93.7,89.4,2016
Ty Nsekhe,T,WAS,11,77.3,3,10,14,1,220,71.6,2,5,8,1,98,93.64,91.84,2016
Alvin Bailey,G,CLV,9,69.7,1,10,17,6,267,52.3,1,8,14,5,137,93.63,89.78,2016
Vladimir Ducasse,G,BLT,8,62.7,2,20,24,2,375,46.6,1,14,17,2,166,93.6,89.76,2016
Brandon Fusco,G,MIN,14,62.3,6,24,34,4,523,48.8,4,17,25,4,231,93.5,89.18,2016
Bobby Massie,T,CHI,15,69.5,6,27,37,4,569,66.2,3,21,27,3,264,93.5,89.77,2016
Shawn Lauvao,G,WAS,14,60.7,4,32,39,3,599,50.4,3,21,27,3,300,93.49,91.0,2016
Austin Pasztor,T,CLV,16,74.9,2,39,46,5,695,68.6,1,33,38,4,348,93.38,89.08,2016
Jamon Brown,G,LA,9,56.1,3,9,16,4,241,52.8,2,4,10,4,107,93.36,90.65,2016
Alejandro Villanueva,T,PIT,16,80.7,5,34,45,6,666,65.3,4,29,38,5,298,93.24,87.25,2016
Halapoulivaati Vaitai,T,PHI,6,65.6,3,10,17,4,250,61.1,2,7,12,3,98,93.2,87.76,2016
Tyler Shatley,G,JAX,6,38.9,3,10,14,1,204,53.7,1,5,7,1,84,93.14,91.67,2016
Spencer Drango,G,CLV,13,68.9,7,15,28,6,407,59.9,6,10,21,5,207,93.12,89.86,2016
Denzelle Good,G,IND,10,56.2,5,17,28,6,406,48.5,3,11,19,5,203,93.1,90.64,2016
James Hurst,T,BLT,8,63.1,3,11,14,0,202,54.2,3,11,14,0,104,93.07,86.54,2016
Kelvin Beachum,T,JAX,15,72.7,6,37,47,4,678,65.5,5,29,36,2,318,93.07,88.68,2016
Ja'Wuan James,T,MIA,16,69.6,7,26,38,5,541,65.0,2,18,23,3,214,92.98,89.25,2016
Joe Thuney,G,NE,16,64.6,9,32,45,4,640,57.2,4,17,25,4,234,92.97,89.32,2016
Greg Robinson,T,LA,14,66.7,5,27,40,8,567,50.1,4,22,33,7,229,92.95,85.59,2016
Anthony Castonzo,T,IND,16,79.0,8,37,51,6,719,73.8,7,25,37,5,376,92.91,90.16,2016
Orlando Franklin,G,SD,16,58.6,8,30,40,2,560,55.6,7,19,27,1,273,92.86,90.11,2016
Chris Chester,G,ATL,16,58.6,12,27,45,6,628,45.0,7,18,30,5,229,92.83,86.9,2016
Branden Albert,T,MIA,12,74.8,9,17,29,3,403,68.8,4,8,14,2,161,92.8,91.3,2016
Germain Ifedi,G,SEA,13,35.6,4,31,40,5,555,23.9,3,24,32,5,207,92.79,84.54,2016
Zane Beadles,G,SF,16,55.9,3,38,45,4,619,45.4,2,31,36,3,302,92.73,88.08,2016
Riley Reiff,T,DET,14,67.3,2,38,44,4,604,58.0,1,27,32,4,277,92.72,88.45,2016
Mike Remmers,T,CAR,16,71.0,3,36,48,9,655,58.5,3,30,42,9,346,92.67,87.86,2016
Rob Havenstein,T,LA,15,71.2,6,30,44,8,592,58.6,3,25,36,8,238,92.57,84.87,2016
Jeremiah Sirles,T,MIN,14,64.5,8,23,37,6,486,62.0,4,16,25,5,224,92.39,88.84,2016
John Wetzel,T,ARZ,12,53.3,11,19,32,2,418,37.9,8,13,21,0,168,92.34,87.5,2016
D.J. Humphries,T,ARZ,13,61.8,7,30,46,9,599,53.7,6,16,30,8,269,92.32,88.85,2016
Joe Staley,T,SF,13,77.0,6,29,39,4,505,73.5,4,23,30,3,257,92.28,88.33,2016
Daryl Williams,T,CAR,11,63.8,7,22,30,1,388,52.5,5,17,23,1,204,92.27,88.73,2016
Doug Free,T,DAL,16,66.9,7,30,45,8,571,54.4,5,25,38,8,283,92.12,86.57,2016
Austin Howard,T,OAK,11,60.5,3,28,35,4,440,45.1,3,20,27,4,178,92.05,84.83,2016
Ben Ijalana,T,NYJ,16,67.7,7,28,43,8,537,58.2,2,18,23,3,205,91.99,88.78,2016
Alex Lewis,G,BLT,9,66.8,8,20,29,1,362,51.9,7,14,22,1,169,91.99,86.98,2016
Joe Barksdale,T,SD,15,65.9,7,32,48,9,592,59.1,6,23,36,7,291,91.89,87.63,2016
Donovan Smith,T,TB,16,62.8,13,41,57,3,701,56.6,9,32,43,2,339,91.87,87.32,2016
Garry Gilliam,T,SEA,14,59.6,6,35,43,2,523,53.5,5,17,23,1,191,91.78,87.96,2016
Breno Giacomini,T,NYJ,5,62.2,1,9,14,4,170,51.5,0,5,8,3,63,91.76,87.3,2016
Bobby Hart,T,NYG,14,54.8,9,35,46,2,557,44.9,8,31,40,1,257,91.74,84.44,2016
Joshua Garnett,G,SF,12,55.5,2,33,38,3,451,40.0,2,26,30,2,227,91.57,86.78,2016
Joe Haeg,G,IND,14,59.7,12,32,53,9,615,47.4,10,25,43,8,317,91.38,86.44,2016
Russell Okung,T,DEN,16,71.2,4,50,58,4,663,57.4,3,35,42,4,320,91.25,86.88,2016
Ereck Flowers,T,NYG,16,64.3,8,47,59,4,659,44.3,7,40,50,3,294,91.05,82.99,2016
Earl Watford,G,ARZ,13,38.2,4,34,46,8,498,25.2,1,20,28,7,204,90.76,86.27,2016
Derek Newton,T,HST,6,55.0,4,13,20,3,216,55.5,3,7,12,2,94,90.74,87.23,2016
Jordan Mills,T,BUF,16,61.5,3,46,57,8,596,59.8,1,30,37,6,294,90.44,87.41,2016
Bradley Sowell,T,SEA,10,55.4,8,27,39,4,406,38.6,5,21,30,4,170,90.39,82.35,2016
King Dunlap,T,SD,12,69.3,6,34,45,5,466,63.4,5,23,32,4,234,90.34,86.32,2016
Jonotthan Harrison,G,IND,11,38.5,8,19,28,1,289,26.7,7,12,20,1,155,90.31,87.1,2016
Cedric Ogbuehi,T,CIN,12,53.0,3,31,43,9,424,38.3,2,20,31,9,165,89.86,81.21,2016
Ryan Clady,T,NYJ,8,69.8,8,24,34,2,334,57.1,4,16,22,2,121,89.82,81.82,2016
T.J. Clemmings,T,MIN,14,41.2,14,35,58,9,567,26.0,13,23,44,8,256,89.77,82.81,2016
Chris Clark,T,HST,16,49.8,9,52,67,6,642,51.0,4,30,38,4,310,89.56,87.74,2016
Donald Stephenson,T,DEN,13,40.4,10,36,50,4,470,27.8,6,26,35,3,223,89.36,84.3,2016
George Fant,T,SEA,11,50.7,5,35,47,7,439,34.8,3,24,33,6,163,89.29,79.75,2016
Chris Hairston,T,SD,10,62.9,6,15,24,3,216,57.0,5,12,19,2,117,88.89,83.76,2016
Joe Reitz,T,IND,9,53.3,5,32,42,5,287,43.8,4,25,34,5,157,85.37,78.34,2016
Rodney Hudson,C,OAK,16,91.1,1,1,3,1,635,88.0,1,0,1,0,260,99.53,99.62,2017
Brandon Linder,C,JAX,13,84.4,2,5,7,0,514,80.9,1,4,5,0,254,98.64,98.03,2017
Mike Person,C,IND,7,81.3,0,3,3,0,203,79.6,0,2,2,0,113,98.52,98.23,2017
Justin Britt,C,SEA,16,74.4,1,9,11,1,712,68.3,1,6,8,1,304,98.46,97.37,2017
Brett Jones,C,NYG,15,82.1,1,7,10,2,605,76.4,0,3,4,1,253,98.35,98.42,2017
Weston Richburg,C,NYG,4,74.6,2,1,3,0,173,76.8,0,1,1,0,73,98.27,98.63,2017
Mike Pouncey,C,MIA,16,77.0,3,8,12,1,637,69.8,3,7,10,0,253,98.12,96.05,2017
Zack Martin,G,DAL,16,87.2,1,9,11,1,581,85.0,1,6,8,1,297,98.11,97.31,2017
Ryan Jensen,C,BLT,16,66.7,1,8,12,3,625,56.9,1,5,9,3,217,98.08,95.85,2017
Travis Frederick,C,DAL,16,82.6,3,9,12,0,609,84.2,0,6,6,0,314,98.03,98.09,2017
Chase Roullier,C,WAS,8,70.6,2,4,6,0,297,71.0,1,4,5,0,146,97.98,96.58,2017
Spencer Long,C,WAS,7,75.0,2,2,5,1,234,79.7,0,1,1,0,99,97.86,98.99,2017
Andrew Norwell,G,CAR,16,92.1,0,13,13,0,601,90.0,0,9,9,0,325,97.84,97.23,2017
Zach Fulton,C,KC,13,80.8,1,10,11,0,492,69.7,0,6,6,0,180,97.76,96.67,2017
Matt Paradis,C,DEN,16,80.1,4,12,16,0,698,74.1,2,6,8,0,293,97.71,97.27,2017
David DeCastro,G,PIT,15,89.5,1,14,15,0,636,84.4,1,11,12,0,321,97.64,96.26,2017
Max Unger,C,NO,16,72.1,3,9,14,2,589,65.9,2,6,9,1,239,97.62,96.23,2017
David Bakhtiari,T,GB,12,94.6,2,9,12,1,487,92.3,2,5,7,0,207,97.54,96.62,2017
Alex Mack,C,ATL,16,81.6,1,12,15,2,599,70.5,1,8,10,1,245,97.5,95.92,2017
A.Q. Shipley,C,ARZ,16,77.9,3,10,18,5,713,72.1,2,6,10,2,323,97.48,96.9,2017
Richie Incognito,G,BUF,16,84.1,2,11,15,2,596,76.5,2,9,13,2,280,97.48,95.36,2017
Brandon Brooks,G,PHI,16,87.3,3,14,17,0,648,76.3,2,11,13,0,263,97.38,95.06,2017
Eric Wood,C,BUF,16,78.3,2,13,16,1,600,73.1,1,10,12,1,283,97.33,95.76,2017
Kelechi Osemele,G,OAK,16,81.3,3,12,17,2,634,71.8,2,8,12,2,260,97.32,95.38,2017
John Jerry,G,NYG,16,76.2,2,13,17,2,625,60.7,2,10,13,1,277,97.28,95.31,2017
Mitch Morse,C,KC,7,70.4,0,7,7,0,255,59.0,0,5,5,0,97,97.25,94.85,2017
Jason Peters,T,PHI,7,90.6,0,6,7,1,252,81.9,0,5,6,1,93,97.22,93.55,2017
Nick Easton,G,MIN,12,64.9,3,9,12,0,425,70.2,0,8,8,0,184,97.18,95.65,2017
Senio Kelemete,G,NO,15,77.3,2,7,10,1,351,53.5,2,7,10,1,139,97.15,92.81,2017
Demar Dotson,T,TB,11,79.6,2,10,14,2,483,73.6,1,8,11,2,227,97.1,95.15,2017
John Sullivan,C,LA,15,74.2,3,11,15,1,518,64.7,2,8,11,1,234,97.1,95.3,2017
Andy Levitre,G,ATL,13,81.3,1,10,12,1,412,80.2,1,6,7,0,156,97.09,95.51,2017
Marcus Gilbert,T,PIT,7,76.8,1,5,7,1,239,70.8,0,3,4,1,99,97.07,95.96,2017
Laurent Duvernay-Tardif,G,KC,11,79.6,3,8,12,1,400,79.9,1,7,9,1,146,97.0,93.84,2017
Russell Bodine,C,CIN,16,69.4,1,16,18,1,591,65.6,1,4,6,1,209,96.95,97.13,2017
Ben Jones,C,TEN,16,67.8,2,15,18,1,588,74.5,2,4,6,0,282,96.94,97.87,2017
Jason Kelce,C,PHI,16,72.9,4,14,20,2,652,65.2,3,9,13,1,266,96.93,95.11,2017
Josh Sitton,G,CHI,13,84.8,1,9,12,2,388,80.5,1,6,9,2,201,96.91,95.52,2017
Ron Leary,G,DEN,11,75.1,3,9,14,2,452,66.9,2,7,11,2,191,96.9,94.24,2017
Maurkice Pouncey,C,PIT,15,80.8,4,15,20,1,635,74.1,3,13,17,1,321,96.85,94.7,2017
Josh Kline,G,TEN,16,81.0,0,18,19,1,587,74.1,0,11,12,1,282,96.76,95.74,2017
Joel Bitonio,G,CLV,16,87.8,7,11,24,6,731,83.8,5,10,20,5,413,96.72,95.16,2017
T.J. Lang,G,DET,13,85.3,1,15,17,1,517,74.3,0,13,14,1,249,96.71,94.38,2017
Travis Swanson,C,DET,11,67.5,1,14,15,0,455,62.0,0,10,10,0,214,96.7,95.33,2017
James Hurst,G,BLT,16,76.1,3,15,21,3,624,66.7,0,12,14,2,217,96.63,93.55,2017
Lane Johnson,T,PHI,15,77.8,4,13,20,3,591,78.3,0,9,11,2,247,96.62,95.55,2017
Clint Boling,G,CIN,16,72.8,0,18,20,2,591,64.0,0,12,14,2,209,96.62,93.3,2017
J.C. Tretter,C,CLV,16,80.4,3,21,25,1,731,85.0,3,9,12,0,413,96.58,97.09,2017
Trey Hopkins,G,CIN,13,77.6,0,13,15,2,437,70.2,0,8,10,2,152,96.57,93.42,2017
Daniel Kilgore,C,SF,16,72.2,5,15,24,4,695,66.2,2,9,14,3,290,96.55,95.17,2017
Ryan Schraeder,T,ATL,14,73.8,4,10,17,3,485,66.6,4,8,14,2,203,96.49,93.1,2017
Evan Smith,G,TB,15,65.2,3,12,16,1,449,57.5,2,7,10,1,198,96.44,94.95,2017
Jahri Evans,G,GB,14,78.6,3,17,22,2,609,69.2,1,11,13,1,240,96.39,94.58,2017
Joe Thomas,T,CLV,7,90.1,2,10,12,0,331,84.9,2,10,12,0,197,96.37,93.91,2017
David Andrews,C,NE,14,80.1,3,17,22,2,603,80.1,0,8,9,1,267,96.35,96.63,2017
Tyler Shatley,G,JAX,10,61.0,1,5,7,1,191,54.1,1,2,4,1,85,96.34,95.29,2017
Joe Berger,G,MIN,16,80.5,2,18,23,3,618,72.0,2,12,17,3,262,96.28,93.51,2017
Corey Linsley,C,GB,16,73.6,3,21,26,2,699,73.4,0,13,15,2,285,96.28,94.74,2017
Ali Marpet,C,TB,11,73.9,2,13,18,3,483,72.9,1,6,9,2,227,96.27,96.04,2017
Trent Brown,T,SF,10,79.2,6,9,16,1,429,79.6,2,6,9,1,174,96.27,94.83,2017
Shaq Mason,G,NE,16,70.4,10,15,26,1,681,71.4,6,8,15,1,300,96.18,95.0,2017
Graham Glasgow,G,DET,16,71.8,6,17,26,3,681,57.4,5,15,22,2,323,96.18,93.19,2017
Gabe Jackson,G,OAK,15,77.1,0,21,22,1,576,64.6,0,15,16,1,242,96.18,93.39,2017
Nick Martin,C,HST,14,68.5,4,17,23,2,597,60.5,4,9,15,2,280,96.15,94.64,2017
Larry Warford,G,NO,14,80.0,5,13,19,1,491,64.5,4,11,16,1,209,96.13,92.34,2017
Ja'Wuan James,T,MIA,8,77.8,1,9,12,2,308,72.9,0,4,6,2,106,96.1,94.34,2017
Rodger Saffold,G,LA,15,74.8,4,16,21,1,533,64.2,2,13,16,1,231,96.06,93.07,2017
Joe Staley,T,SF,15,85.2,5,15,24,4,606,77.7,3,9,15,3,250,96.04,94.0,2017
Kevin Zeitler,G,CLV,16,81.8,7,20,29,2,731,75.5,7,13,21,1,413,96.03,94.92,2017
Terron Armstead,T,NO,10,81.6,4,4,12,4,300,66.6,4,2,9,3,122,96.0,92.62,2017
Patrick Omameh,G,JAX,13,68.1,0,15,18,3,447,50.2,0,14,17,3,210,95.97,91.9,2017
Jon Halapio,G,NYG,7,65.4,0,10,10,0,247,60.5,0,5,5,0,114,95.95,95.61,2017
A.J. Cann,G,JAX,15,63.0,3,19,23,1,567,54.5,3,14,17,0,281,95.94,93.95,2017
Ryan Ramczyk,T,NO,16,76.4,5,16,24,3,589,69.3,3,13,19,3,239,95.93,92.05,2017
Wesley Johnson,C,NYJ,15,53.7,6,15,23,2,556,53.5,3,8,13,2,221,95.86,94.12,2017
Taylor Lewan,T,TEN,16,84.6,4,14,22,4,527,73.8,3,11,17,3,248,95.83,93.15,2017
Charles Leno Jr.,T,CHI,16,81.9,3,18,24,3,576,78.9,1,14,18,3,287,95.83,93.73,2017
Russell Okung,T,LAC,15,81.0,4,18,24,2,572,73.9,0,16,18,2,267,95.8,93.26,2017
Brandon Scherff,G,WAS,14,72.3,4,15,22,3,524,68.3,3,9,14,2,249,95.8,94.38,2017
Brandon Fusco,G,SF,16,73.7,3,21,29,5,683,67.0,2,17,23,4,282,95.75,91.84,2017
Vladimir Ducasse,G,BUF,12,76.1,3,16,20,1,468,72.1,2,7,10,1,226,95.73,95.58,2017
Jonathan Cooper,G,DAL,13,64.8,7,11,20,2,464,56.9,5,9,15,1,239,95.69,93.72,2017
Matt Slauson,G,LAC,7,66.7,4,8,12,0,276,57.3,3,6,9,0,140,95.65,93.57,2017
Andrew Whitworth,T,LA,15,81.1,4,14,24,6,534,77.6,1,7,12,4,236,95.51,94.92,2017
Ryan Kelly,C,IND,7,50.2,2,9,11,0,244,46.8,1,8,9,0,123,95.49,92.68,2017
Trent Williams,T,WAS,10,81.9,2,15,17,0,376,75.1,2,13,15,0,185,95.48,91.89,2017
Ted Larsen,G,MIA,8,67.8,3,12,16,1,353,47.9,3,12,16,1,158,95.47,89.87,2017
Pat Elflein,C,MIN,14,65.4,7,13,24,4,522,57.2,4,7,15,4,222,95.4,93.24,2017
Jack Conklin,T,TEN,16,73.4,7,18,27,2,587,72.2,4,14,20,2,282,95.4,92.91,2017
Lane Taylor,G,GB,15,76.4,2,24,29,3,628,62.2,2,19,23,2,255,95.38,90.98,2017
