year,nflverse_team,n_dropbacks,total_epa,total_success,total_sacks,total_qb_hits,avg_cpoe
2016,ATL,594,177.79285,319.0,37.0,106.0,6.7250056
2016,BAL,718,-31.427172,310.0,33.0,76.0,-0.35524327
2016,BUF,571,43.802437,255.0,46.0,83.0,0.8622892
2016,CAR,613,-37.66394,262.0,36.0,93.0,-4.557923
2016,CHI,590,-1.6522028,279.0,28.0,70.0,0.11816584
2016,CIN,624,59.353775,302.0,41.0,70.0,2.8122227
2016,CLE,660,-29.603006,253.0,66.0,132.0,-1.3729231
2016,DAL,539,118.40929,279.0,28.0,66.0,3.8618069
2016,DEN,630,-13.218134,275.0,40.0,98.0,-0.53729093
2016,DET,655,94.84836,321.0,37.0,77.0,0.11854581
2016,GB,698,149.24638,341.0,35.0,74.0,2.830774
2016,HOU,630,-45.51659,283.0,32.0,96.0,-3.2890854
2016,IND,669,72.01716,327.0,44.0,126.0,1.3992232
2016,JAX,696,-20.181526,302.0,34.0,84.0,-4.37777
2016,KC,600,49.190887,274.0,32.0,67.0,2.3907454
2016,LA,595,-158.16663,213.0,49.0,91.0,-6.880042
2016,LAC,623,38.036396,282.0,36.0,94.0,0.07631725
2016,LV,635,62.023643,289.0,18.0,39.0,-0.23749384
2016,MIA,520,34.907223,244.0,30.0,90.0,4.5125523
2016,MIN,635,44.66148,301.0,38.0,102.0,3.817226
2016,NE,594,154.64554,288.0,24.0,72.0,2.8948612
2016,NO,699,103.78937,358.0,27.0,69.0,4.2823005
2016,NYG,623,-23.47862,275.0,22.0,63.0,-1.6218419
2016,NYJ,608,-67.481575,248.0,35.0,93.0,-4.853319
2016,PHI,662,25.55425,296.0,33.0,95.0,-0.82732224
2016,PIT,625,94.22892,297.0,21.0,56.0,1.6902059
2016,SEA,643,55.73629,313.0,42.0,109.0,4.8016605
2016,SF,589,-24.003443,242.0,47.0,78.0,-5.3791213
2016,TB,647,74.91809,320.0,35.0,107.0,2.018911
2016,TEN,557,46.33889,256.0,28.0,50.0,1.3422151
2016,WAS,638,115.14599,335.0,23.0,79.0,5.095474
2017,ARI,667,-92.9267,267.0,52.0,117.0,-4.2461042
2017,ATL,568,90.83611,282.0,24.0,88.0,3.1088846
2017,BAL,599,-46.19729,251.0,27.0,60.0,-1.2039922
2017,BUF,565,-13.162973,236.0,47.0,85.0,-0.36629865
2017,CAR,567,3.4361985,242.0,35.0,69.0,-2.9693575
2017,CHI,533,-57.02476,212.0,39.0,81.0,-3.078196
2017,CIN,560,-45.45967,227.0,40.0,61.0,-2.0421124
2017,CLE,673,-142.48134,243.0,50.0,127.0,-5.489516
2017,DAL,558,-24.540394,239.0,32.0,77.0,-0.4819775
2017,DEN,658,-92.95461,261.0,52.0,98.0,-2.4830456
2017,DET,638,33.102806,291.0,47.0,88.0,0.541916
2017,GB,652,-31.787363,288.0,51.0,102.0,-1.2770716
2017,HOU,605,-38.49756,252.0,54.0,111.0,-2.7080717
2017,IND,582,-74.70911,228.0,56.0,110.0,-4.6810246
2017,JAX,579,40.757473,265.0,24.0,74.0,-3.0296035
2017,KC,615,105.30799,298.0,37.0,83.0,4.589472
2017,LA,554,60.526844,241.0,28.0,71.0,-1.3372277
2017,LAC,602,99.505325,289.0,18.0,71.0,1.152065
2017,LV,594,-10.194414,257.0,24.0,49.0,-0.5019484
2017,MIA,645,-67.76319,268.0,33.0,77.0,-0.34720066
2017,MIN,574,70.26717,269.0,27.0,85.0,3.7698948
2017,NE,630,138.10388,316.0,35.0,83.0,3.6677418
2017,NO,558,86.25901,277.0,20.0,56.0,4.6813564
2017,NYG,654,-75.588,281.0,35.0,67.0,-3.813492
2017,NYJ,574,-8.516569,248.0,47.0,96.0,1.20989
2017,PHI,634,79.29554,290.0,36.0,106.0,0.34057218
2017,PIT,624,91.58439,310.0,24.0,65.0,3.6160374
2017,SEA,652,38.07232,300.0,43.0,122.0,4.576134
2017,SF,665,-15.356382,286.0,43.0,116.0,-3.0253181
2017,TB,679,46.30412,336.0,40.0,101.0,3.15991
2017,TEN,552,-52.085735,234.0,35.0,71.0,0.5130727
2017,WAS,604,6.629621,271.0,41.0,97.0,0.83880556
2018,ARI,563,-167.20203,205.0,52.0,107.0,-7.253129
2018,ATL,681,114.74986,347.0,42.0,105.0,4.2630234
2018,BAL,608,15.889982,276.0,32.0,64.0,-3.72205
2018,BUF,597,-94.66352,235.0,41.0,99.0,-7.1391225
2018,CAR,626,38.824417,300.0,32.0,76.0,2.7305238
2018,CHI,587,66.684166,287.0,33.0,60.0,2.4713514
2018,CIN,603,17.62426,269.0,37.0,70.0,-3.5623617
2018,CLE,643,8.818721,281.0,38.0,69.0,-0.70667404
2018,DAL,612,29.431046,275.0,56.0,104.0,1.0223702
2018,DEN,634,-12.940231,277.0,34.0,91.0,-1.0962543
2018,DET,632,-10.269195,271.0,41.0,81.0,-2.7666597
2018,GB,730,57.61278,332.0,53.0,101.0,-1.5642622
2018,HOU,621,68.82248,303.0,62.0,124.0,4.5062485
2018,IND,684,93.890495,345.0,18.0,76.0,0.7317364
2018,JAX,645,-63.31909,276.0,53.0,106.0,-4.70877
2018,KC,637,226.99733,333.0,26.0,104.0,4.412628
2018,LA,622,122.80659,317.0,33.0,70.0,1.369824
2018,LAC,559,117.296005,283.0,34.0,85.0,3.4199488
2018,LV,610,-3.293695,290.0,52.0,86.0,3.8311348
2018,MIA,517,-52.233326,213.0,52.0,107.0,-0.15320042
2018,MIN,665,-21.477758,318.0,40.0,94.0,2.610618
2018,NE,599,89.117165,306.0,21.0,66.0,1.0620337
2018,NO,550,137.24377,301.0,20.0,50.0,5.6855106
2018,NYG,638,25.653673,272.0,47.0,96.0,0.23118475
2018,NYJ,580,-52.716034,238.0,37.0,74.0,-5.654061
2018,PHI,655,62.25109,318.0,40.0,99.0,5.257295
2018,PIT,729,132.18686,364.0,24.0,72.0,1.3657433
2018,SEA,500,86.734505,237.0,51.0,92.0,7.4646745
2018,SF,597,4.7238865,279.0,48.0,122.0,-2.4859717
2018,TB,728,104.50588,363.0,41.0,108.0,3.3405814
2018,TEN,519,4.4646697,237.0,47.0,65.0,0.9649851
2018,WAS,594,-45.80897,261.0,44.0,94.0,-2.9412336
2019,ARI,633,-1.66271,271.0,50.0,60.0,-1.697219
2019,ATL,761,48.478973,364.0,50.0,136.0,2.3808494
2019,BAL,505,167.39764,252.0,28.0,59.0,3.2501926
2019,BUF,595,-0.12268177,256.0,40.0,84.0,-2.7070053
2019,CAR,716,-62.043537,320.0,58.0,100.0,-2.5478563
2019,CHI,647,-27.863617,284.0,45.0,79.0,-1.821152
2019,CIN,675,-73.76654,277.0,48.0,81.0,-4.979464
2019,CLE,597,-8.088623,253.0,41.0,66.0,-3.160044
2019,DAL,641,125.93811,335.0,23.0,83.0,0.9661918
2019,DEN,566,-29.091417,233.0,41.0,81.0,-2.503917
2019,DET,639,23.666819,279.0,43.0,89.0,-3.4678013
2019,GB,636,61.32022,283.0,36.0,84.0,0.7176124
2019,HOU,630,75.42518,305.0,49.0,88.0,1.4690926
2019,IND,578,-22.810572,255.0,32.0,92.0,-4.0578585
2019,JAX,690,-18.82742,287.0,42.0,81.0,-2.6896377
2019,KC,626,150.60733,310.0,25.0,71.0,1.985212
2019,LA,665,63.104424,308.0,22.0,77.0,-1.8130316
2019,LAC,635,61.709187,317.0,34.0,92.0,3.6837811
2019,LV,565,85.13879,279.0,29.0,50.0,5.668253
2019,MIA,714,-27.639435,317.0,58.0,145.0,-2.7364976
2019,MIN,506,75.5466,237.0,28.0,66.0,3.4206212
2019,NE,653,15.060003,275.0,28.0,89.0,-2.0284302
2019,NO,616,112.73154,314.0,25.0,58.0,4.0840826
2019,NYG,682,-33.990635,287.0,43.0,117.0,-2.06658
2019,NYJ,584,-77.44335,231.0,52.0,105.0,0.096801616
2019,PHI,679,23.961784,317.0,37.0,98.0,-0.87777233
2019,PIT,561,-72.1566,222.0,32.0,77.0,-1.3448318
2019,SEA,609,70.75202,300.0,48.0,109.0,6.910254
2019,SF,529,87.01784,265.0,36.0,73.0,2.519517
2019,TB,711,47.32836,342.0,47.0,103.0,0.6438578
2019,TEN,529,70.92153,258.0,56.0,97.0,3.8143325
2019,WAS,548,-79.27847,232.0,50.0,93.0,-2.7803047
2020,ARI,648,39.33096,315.0,29.0,51.0,2.14377
2020,ATL,687,71.4573,324.0,41.0,111.0,1.2736852
2020,BAL,486,62.05873,226.0,32.0,58.0,-0.03570137
2020,BUF,653,188.41623,360.0,27.0,71.0,6.1042614
2020,CAR,624,31.631458,294.0,36.0,76.0,3.007278
2020,CHI,670,-9.314602,313.0,36.0,98.0,1.1553165
2020,CIN,649,-6.7472615,294.0,48.0,118.0,0.050641015
2020,CLE,548,93.887085,281.0,26.0,52.0,2.8896391
2020,DAL,708,-15.056929,344.0,44.0,94.0,-1.1122749
2020,DEN,616,-69.51182,245.0,32.0,100.0,-5.0908275
2020,DET,639,46.553566,307.0,42.0,91.0,-1.0714905
2020,GB,568,191.25986,309.0,21.0,49.0,7.185555
2020,HOU,660,139.73853,348.0,50.0,96.0,6.5158954
2020,IND,574,86.87415,280.0,21.0,57.0,0.10811882
2020,JAX,694,-37.90398,305.0,44.0,81.0,-0.696773
2020,KC,696,208.06279,377.0,24.0,86.0,2.8343315
2020,LA,638,10.778467,298.0,25.0,80.0,0.47873122
2020,LAC,687,90.88197,325.0,34.0,105.0,-0.16673036
2020,LV,603,67.36932,300.0,28.0,54.0,2.1979256
2020,MIA,627,46.00603,312.0,34.0,78.0,0.9758768
2020,MIN,576,92.744385,298.0,39.0,113.0,4.5845366
2020,NE,499,-29.997011,228.0,37.0,77.0,-1.595826
2020,NO,570,73.18024,279.0,29.0,75.0,2.6253939
2020,NYG,595,-35.258694,252.0,50.0,113.0,-2.1434622
2020,NYJ,572,-79.777214,232.0,43.0,97.0,-1.8896607
2020,PHI,717,-70.74199,280.0,65.0,139.0,-4.6581883
2020,PIT,679,51.686775,310.0,14.0,69.0,-0.96012896
2020,SEA,665,87.37266,334.0,48.0,116.0,6.870043
2020,SF,619,37.64847,294.0,39.0,118.0,-1.5973407
2020,TB,652,119.70248,316.0,22.0,78.0,3.0884264
2020,TEN,533,132.54599,280.0,25.0,84.0,2.3028848
2020,WAS,671,-64.61652,277.0,50.0,108.0,-1.3329273
2021,ARI,666,88.37775,332.0,39.0,61.0,4.0659575
2021,ATL,631,-43.68477,286.0,40.0,129.0,0.7920964
2021,BAL,743,22.769068,351.0,57.0,99.0,0.46131632
